reference_id,citation_key,identifier,metadata_authority,title_match,author_match,year_status,full_text_version,update_or_correction_relation,verification_status
LIT-THEORY-001,rockafellar2000optimization,10.21314/JOR.2000.038,CROSSREF,EXACT,EXACT,EXACT,AUTHOR_MANUSCRIPT,NONE,VERIFIED
LIT-THEORY-002,rockafellar2002conditional,10.1016/S0378-4266(02)00271-6,CROSSREF,EXACT,EXACT,EXACT,AUTHOR_MANUSCRIPT,NONE,VERIFIED
LIT-THEORY-003,ansari2024dependence,10.1515/demo-2024-0002,CROSSREF,EXACT,EXACT,EXACT,VERSION_OF_RECORD,NONE,VERIFIED
LIT-AGR-001,filippi2017mixed,10.1016/j.cor.2016.12.004,CROSSREF,EXACT,EXACT,EXACT,VERSION_OF_RECORD,NONE,VERIFIED
LIT-AGR-002,boyabatli2019crop,10.1287/mnsc.2018.3044,CROSSREF,EXACT,EXACT,EXACT,SUBMITTED_AUTHOR_VERSION,NONE,VERIFIED
LIT-AGR-003,benini2023crop,10.1016/j.cor.2023.106316,CROSSREF,EXACT,EXACT,EXACT,OPEN_VERSION_OF_RECORD,NONE,VERIFIED
LIT-AGR-004,randall2022robust,10.1016/j.orp.2021.100219,CROSSREF,EXACT,EXACT,EXACT,OPEN_VERSION_OF_RECORD,NONE,VERIFIED
LIT-AGR-005,randall2024systematic,10.1007/s11269-024-03758-3,CROSSREF,EXACT,EXACT,EXACT,VERSION_OF_RECORD,NONE,VERIFIED
LIT-ML-001,liakos2018machine,10.3390/s18082674,CROSSREF,EXACT,EXACT,EXACT,OPEN_VERSION_OF_RECORD,NONE,VERIFIED
LIT-ML-002,vanklompenburg2020crop,10.1016/j.compag.2020.105709,CROSSREF,EXACT,EXACT,EXACT,VERSION_OF_RECORD,NONE,VERIFIED
LIT-SP-001,dantzig1955linear,10.1287/mnsc.1.3-4.197,CROSSREF,EXACT,EXACT,EXACT,AUTHORIZED_REPRINT,NONE,VERIFIED
LIT-COP-001,demarta2005tcopula,10.1111/j.1751-5823.2005.tb00254.x,CROSSREF,EXACT,EXACT,PRINT_2005_ONLINE_2007,AUTHOR_MANUSCRIPT,NONE,VERIFIED_WITH_YEAR_NOTE
LIT-PTO-001,bertsimas2020predictive,10.1287/mnsc.2018.3253,CROSSREF,EXACT,EXACT,FINAL_2020_ONLINE_2019,AUTHOR_PREPRINT,NONE,VERIFIED
LIT-PTO-002,elmachtoub2022smart,10.1287/mnsc.2020.3922,CROSSREF,EXACT,EXACT,EXACT,AUTHOR_PREPRINT,NONE,VERIFIED
LIT-PTO-003,wilder2019melding,10.1609/aaai.v33i01.33011658,CROSSREF,EXACT,EXACT,EXACT,OPEN_VERSION_OF_RECORD,NONE,VERIFIED
LIT-PTO-004,mandi2023decision,10.48550/arXiv.2307.13565,DATACITE_ARXIV,EXACT,EXACT,EXACT,PREPRINT,NONE,VERIFIED_PREPRINT
LIT-VOI-001,keisler2004value,10.1287/deca.1040.0023,CROSSREF,EXACT,EXACT,EXACT,INSTITUTIONAL_AUTHOR_VERSION,NONE,VERIFIED
LIT-VOI-002,merkhofer1975value,10.21236/ADA016836,CROSSREF_DTIC,EXACT,EXACT,EXACT,DECLASSIFIED_TECHNICAL_REPORT,NONE,VERIFIED
LIT-FLEX-001,vanmieghem1998investment,10.1287/mnsc.44.8.1071,CROSSREF,EXACT,EXACT,EXACT,AUTHOR_EXTENDED_REPORT,NONE,VERIFIED
