figure_id,concept,width_mm,full_size_render,text_mark_collision,clipping,grayscale,CVD,disposition
Figure1,A,183,PASS,PASS,PASS,PASS_WITH_FINAL_REDUNDANCY_REQUIRED,PASS,CANDIDATE_NOT_SELECTED_ALONE
Figure1,B,183,PASS,PASS,PASS,PASS,PASS,SELECTED_HYBRID_BASE
Figure2,A,183,PASS,PASS,PASS,PASS,PASS,CANDIDATE_NOT_SELECTED
Figure2,B,183,PASS,PASS,PASS,PASS,PASS,SELECTED
Figure3,A,183,PASS,PASS,PASS,PASS_WITH_HATCH_REQUIRED,PASS,SELECTED
Figure3,B,183,PASS,PASS,PASS,PASS_WITH_HATCH_REQUIRED,PASS,CANDIDATE_NOT_SELECTED
Figure4,A,183,PASS,PASS,PASS,PASS_WITH_REDUNDANT_FACTOR_OUTLINES,PASS,SELECTED_REBUILT
Figure4,B,183,PASS,PASS,PASS,PASS_WITH_MARKERS,PASS,SUPPLEMENTARY_IDEAS_RETAINED
Figure5,A,183,PASS,PASS,PASS,PASS_WITH_LINE_STYLE_REQUIRED,PASS,SELECTED
Figure5,B,183,PASS,PASS,PASS,PASS_WITH_LINE_STYLE_REQUIRED,PASS,CANDIDATE_NOT_SELECTED_ALONE
Figure6,A,183,PASS,PASS,PASS,PASS_WITH_MARKERS_REQUIRED,PASS,SELECTED_HYBRID_BASE
Figure6,B,183,PASS,PASS,PASS,PASS_WITH_MARKERS_REQUIRED,PASS,SELECTED_COMPONENTS
