crop,year,geography,ers_survey_base_year,yield_bushels_per_planted_acre,harvest_price_usd_per_bushel,operating_cost_usd_per_planted_acre,total_cost_usd_per_planted_acre,enterprise_size_planted_acres,dryland_share_percent,irrigated_share_percent,primary_margin_nominal_usd_per_planted_acre,cpi_u_annual_index,cpi_u_deflator_to_2024,primary_margin_real_2024_usd_per_planted_acre,annual_precipitation_inches,annual_mean_temperature_f
corn,1998,United States,Base survey of 1996,136.000000,1.910000,157.710000,362.860000,189.000000,85.000000,15.000000,102.050000,163.008333,1.924373,196.382263,33.850000,54.220000
corn,1999,United States,Base survey of 1996,135.000000,1.690000,156.920000,364.730000,189.000000,85.000000,15.000000,71.230000,166.575000,1.883169,134.138110,28.460000,53.870000
corn,2000,United States,Base survey of 1996,138.000000,1.770000,164.990000,378.320000,189.000000,85.000000,15.000000,79.270000,172.200000,1.821654,144.402519,28.220000,53.250000
corn,2001,United States,Base survey of 2001,144.000000,1.840000,162.300000,348.530000,236.000000,86.000000,14.000000,102.660000,177.066667,1.771586,181.871022,29.020000,53.680000
corn,2002,United States,Base survey of 2001,134.000000,2.320000,145.480000,334.310000,236.000000,86.000000,14.000000,165.400000,179.875000,1.743927,288.445493,29.050000,53.200000
corn,2003,United States,Base survey of 2001,149.000000,2.130000,161.160000,354.410000,236.000000,86.000000,14.000000,156.210000,183.958333,1.705217,266.371910,30.490000,53.240000
corn,2004,United States,Base survey of 2001,169.000000,2.130000,175.940000,377.500000,236.000000,86.000000,14.000000,184.030000,188.883333,1.660754,305.628638,33.230000,53.080000
corn,2005,United States,Base survey of 2005,149.000000,1.740000,186.370000,386.880000,250.000000,88.000000,12.000000,72.890000,195.291667,1.606258,117.080157,30.080000,53.630000
corn,2006,United States,Base survey of 2005,138.000000,2.540000,205.980000,409.740000,250.000000,88.000000,12.000000,144.540000,201.591667,1.556061,224.912987,29.820000,54.240000
corn,2007,United States,Base survey of 2005,143.000000,3.270000,228.990000,443.970000,250.000000,88.000000,12.000000,238.620000,207.342417,1.512902,361.008763,29.160000,53.640000
corn,2008,United States,Base survey of 2005,144.000000,4.360000,295.690000,529.380000,250.000000,88.000000,12.000000,332.150000,215.302500,1.456968,483.931891,31.240000,52.280000
corn,2009,United States,Base survey of 2005,156.000000,3.590000,295.010000,550.700000,250.000000,88.000000,12.000000,265.030000,214.537000,1.462167,387.518011,32.290000,52.380000
corn,2010,United States,Base survey of 2010,159.000000,4.330000,286.410000,550.200000,280.000000,89.000000,11.000000,402.060000,218.055500,1.438573,578.392805,31.360000,52.980000
corn,2011,United States,Base survey of 2010,146.000000,5.730000,332.330000,613.460000,280.000000,89.000000,11.000000,504.250000,224.939167,1.394550,703.201655,30.090000,53.170000
corn,2012,United States,Base survey of 2010,118.000000,6.790000,349.590000,653.570000,280.000000,89.000000,11.000000,451.630000,229.593917,1.366277,617.051575,27.520000,55.270000
corn,2013,United States,Base survey of 2010,156.000000,4.610000,355.600000,676.450000,280.000000,89.000000,11.000000,363.560000,232.957083,1.346552,489.552456,31.040000,52.420000
corn,2014,United States,Base survey of 2010,170.000000,3.540000,356.920000,689.800000,280.000000,89.000000,11.000000,244.880000,236.736167,1.325057,324.479874,30.810000,52.530000
corn,2015,United States,Base survey of 2010,167.000000,3.660000,333.800000,675.330000,280.000000,89.000000,11.000000,277.420000,237.017000,1.323487,367.161664,34.580000,54.380000
corn,2016,United States,Base survey of 2016,183.000000,3.290000,340.550000,678.480000,278.000000,89.000000,11.000000,261.520000,240.007167,1.306998,341.806059,31.410000,54.900000
corn,2017,United States,Base survey of 2016,184.000000,3.250000,326.260000,666.280000,278.000000,89.000000,11.000000,271.740000,245.119583,1.279738,347.755991,32.290000,54.540000
corn,2018,United States,Base survey of 2016,183.000000,3.420000,332.730000,685.110000,278.000000,89.000000,11.000000,293.130000,251.106833,1.249225,366.185207,34.620000,53.510000
corn,2019,United States,Base survey of 2016,173.000000,3.830000,339.390000,692.230000,278.000000,88.000000,12.000000,323.200000,255.657417,1.226989,396.562839,34.820000,52.660000
corn,2020,United States,Base survey of 2016,178.000000,3.610000,319.440000,678.280000,278.000000,88.000000,12.000000,323.140000,258.811167,1.212037,391.657790,30.380000,54.360000
corn,2021,United States,Base survey of 2021,186.000000,5.070000,353.330000,735.190000,296.000000,90.000000,10.000000,589.690000,270.969750,1.157653,682.656157,30.410000,54.500000
corn,2022,United States,Base survey of 2021,180.000000,6.480000,519.110000,927.860000,296.000000,90.000000,10.000000,647.290000,292.654917,1.071873,693.812519,28.450000,53.380000
corn,2023,United States,Base survey of 2021,186.000000,4.920000,479.740000,908.810000,296.000000,90.000000,10.000000,435.380000,304.701583,1.029495,448.221643,29.530000,54.360000
corn,2024,United States,Base survey of 2021,190.000000,3.970000,434.660000,878.310000,296.000000,90.000000,10.000000,319.640000,313.688833,1.000000,319.640000,31.640000,55.480000
soybeans,1998,United States,Base survey of 1997,43.000000,5.190000,79.320000,247.560000,220.000000,95.000000,5.000000,143.850000,163.008333,1.924373,276.821054,33.850000,54.220000
soybeans,1999,United States,Base survey of 1997,40.000000,4.450000,76.330000,249.020000,220.000000,95.000000,5.000000,101.670000,166.575000,1.883169,191.461766,28.460000,53.870000
soybeans,2000,United States,Base survey of 1997,41.000000,4.450000,77.280000,254.100000,220.000000,95.000000,5.000000,105.170000,172.200000,1.821654,191.583360,28.220000,53.250000
soybeans,2001,United States,Base survey of 1997,43.000000,4.150000,81.830000,264.080000,220.000000,95.000000,5.000000,96.620000,177.066667,1.771586,171.170642,29.020000,53.680000
soybeans,2002,United States,Base survey of 2002,40.000000,5.200000,73.500000,232.000000,268.000000,91.000000,9.000000,134.500000,179.875000,1.743927,234.558155,29.050000,53.200000
soybeans,2003,United States,Base survey of 2002,36.000000,6.560000,77.660000,238.490000,268.000000,91.000000,9.000000,158.500000,183.958333,1.705217,270.276857,30.490000,53.240000
soybeans,2004,United States,Base survey of 2002,45.000000,5.600000,81.770000,249.010000,268.000000,91.000000,9.000000,170.230000,188.883333,1.660754,282.710227,33.230000,53.080000
soybeans,2005,United States,Base survey of 2002,47.000000,5.680000,90.210000,264.390000,268.000000,91.000000,9.000000,176.750000,195.291667,1.606258,283.906130,30.080000,53.630000
soybeans,2006,United States,Base survey of 2006,46.000000,5.540000,93.410000,278.090000,303.000000,91.000000,9.000000,161.430000,201.591667,1.556061,251.194849,29.820000,54.240000
soybeans,2007,United States,Base survey of 2006,45.000000,7.950000,106.630000,297.050000,303.000000,91.000000,9.000000,251.120000,207.342417,1.512902,379.920043,29.160000,53.640000
soybeans,2008,United States,Base survey of 2006,43.000000,10.480000,127.790000,334.690000,303.000000,91.000000,9.000000,322.850000,215.302500,1.456968,470.382090,31.240000,52.280000
soybeans,2009,United States,Base survey of 2006,47.000000,9.300000,130.490000,358.270000,303.000000,91.000000,9.000000,306.610000,214.537000,1.462167,448.314898,32.290000,52.380000
soybeans,2010,United States,Base survey of 2006,47.000000,9.560000,131.890000,364.090000,303.000000,91.000000,9.000000,317.430000,218.055500,1.438573,456.646342,31.360000,52.980000
soybeans,2011,United States,Base survey of 2006,44.000000,11.940000,136.870000,383.040000,303.000000,91.000000,9.000000,388.490000,224.939167,1.394550,541.768589,30.090000,53.170000
soybeans,2012,United States,Base survey of 2012,42.000000,14.210000,172.290000,437.590000,273.000000,90.000000,10.000000,424.530000,229.593917,1.366277,580.025474,27.520000,55.270000
soybeans,2013,United States,Base survey of 2012,43.000000,13.280000,176.630000,458.310000,273.000000,90.000000,10.000000,394.410000,232.957083,1.346552,531.093586,31.040000,52.420000
