ranking_definition,state,decision_year,score_leader_changed,acreage_leader_changed,transition_category,prior_top_minus_other_share_change,prior_score_leaders,current_score_leaders,prior_acreage_leaders,current_acreage_leaders
operating_margin,Alabama,2017,True,False,score_only,-0.0520408163265,winter_wheat,soybeans,soybeans,soybeans
operating_margin,Alabama,2018,True,False,score_only,-0.0235294117647,soybeans,winter_wheat,soybeans,soybeans
operating_margin,Alabama,2019,True,True,both,-0.0409982174688,winter_wheat,corn,soybeans,corn
operating_margin,Alabama,2020,False,False,neither,-0.00689914112733,corn,corn,corn,corn
operating_margin,Alabama,2021,False,False,neither,-0.0305009587728,corn,corn,corn,corn
operating_margin,Alabama,2022,True,True,both,-0.0982142857143,corn,winter_wheat,corn,soybeans
operating_margin,Alabama,2023,False,False,neither,0.0260290556901,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,Alabama,2024,False,False,neither,-0.124484654146,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,Arkansas,2017,False,False,neither,0.0679145739248,soybeans,soybeans,soybeans,soybeans
operating_margin,Arkansas,2018,True,False,score_only,-0.0216156198936,soybeans,corn,soybeans,soybeans
operating_margin,Arkansas,2019,False,False,neither,0.0866122353443,corn,corn,soybeans,soybeans
operating_margin,Arkansas,2020,False,False,neither,-0.0677812414807,corn,corn,soybeans,soybeans
operating_margin,Arkansas,2021,False,False,neither,0.0515613838147,corn,corn,soybeans,soybeans
operating_margin,Arkansas,2022,False,False,neither,-0.0518515221649,corn,corn,soybeans,soybeans
operating_margin,Arkansas,2023,False,False,neither,0.0549153212758,corn,corn,soybeans,soybeans
operating_margin,Arkansas,2024,False,False,neither,-0.110235061041,corn,corn,soybeans,soybeans
operating_margin,Delaware,2017,False,False,neither,-0.0327978580991,soybeans,soybeans,corn,corn
operating_margin,Delaware,2018,True,True,both,0.0361445783133,soybeans,winter_wheat,corn,corn;soybeans
operating_margin,Delaware,2019,True,True,both,-0.0460843373494,winter_wheat,corn,corn;soybeans,corn
operating_margin,Delaware,2020,True,False,score_only,-0.0270833333333,corn,soybeans,corn,corn
operating_margin,Delaware,2021,True,False,score_only,0.0405982905983,soybeans,corn,corn,corn
operating_margin,Delaware,2022,False,True,acreage_only,-0.0730769230769,corn,corn,corn,corn;soybeans
operating_margin,Delaware,2023,True,True,both,0.0481481481481,corn,winter_wheat,corn;soybeans,corn
operating_margin,Delaware,2024,False,False,neither,-0.0270655270655,winter_wheat,winter_wheat,corn,corn
operating_margin,Florida,2017,True,False,score_only,-0.145078605605,soybeans,corn,corn,corn
operating_margin,Florida,2018,False,False,neither,0.105092276145,corn,corn,corn,corn
operating_margin,Georgia,2017,False,False,neither,-0.0045211473019,corn,corn,corn,corn
operating_margin,Georgia,2018,False,False,neither,0.0086036758357,corn,corn,corn,corn
operating_margin,Georgia,2019,False,False,neither,0.190992710864,corn,corn,corn,corn
operating_margin,Georgia,2020,False,False,neither,-0.0312807075008,corn,corn,corn,corn
operating_margin,Georgia,2021,False,False,neither,-0.0301810865191,corn,corn,corn,corn
operating_margin,Georgia,2022,False,False,neither,-0.0590659340659,corn,corn,corn,corn
operating_margin,Georgia,2023,False,False,neither,0.0679945054945,corn,corn,corn,corn
operating_margin,Georgia,2024,True,False,score_only,-0.0508540372671,corn,soybeans,corn,corn
operating_margin,Illinois,2017,False,False,neither,0.0311863024868,soybeans,soybeans,corn,corn
operating_margin,Illinois,2018,True,False,score_only,0.0102098014094,soybeans,corn,corn,corn
operating_margin,Illinois,2019,False,False,neither,0.00983835477319,corn,corn,corn,corn
operating_margin,Illinois,2020,True,False,score_only,0.0181011870787,corn,soybeans,corn,corn
operating_margin,Illinois,2021,True,False,score_only,0.0170772892409,soybeans,corn,corn,corn
operating_margin,Illinois,2022,False,True,acreage_only,-0.0128171622024,corn,corn,corn,corn;soybeans
operating_margin,Illinois,2023,True,True,both,0.0222450833287,corn,soybeans,corn;soybeans,corn
operating_margin,Illinois,2024,True,True,both,0.0307942690266,soybeans,corn,corn,corn;soybeans
operating_margin,Indiana,2017,False,False,neither,0.0381951119198,soybeans,soybeans,soybeans,soybeans
