year,crop,variable,reported_rows,missing_rows,nonmissing_rows
2016,corn,planted_acres_1000,48,0,48
2016,soybeans,planted_acres_1000,31,0,31
2016,winter_wheat,planted_acres_1000,42,0,42
2017,corn,planted_acres_1000,48,0,48
2017,soybeans,planted_acres_1000,31,0,31
2017,winter_wheat,planted_acres_1000,42,0,42
2018,corn,planted_acres_1000,48,0,48
2018,soybeans,planted_acres_1000,31,0,31
2018,winter_wheat,planted_acres_1000,42,0,42
2019,corn,planted_acres_1000,48,0,48
2019,soybeans,planted_acres_1000,29,0,29
2019,winter_wheat,planted_acres_1000,35,0,35
2020,corn,planted_acres_1000,48,0,48
2020,soybeans,planted_acres_1000,29,0,29
2020,winter_wheat,planted_acres_1000,35,0,35
2021,corn,planted_acres_1000,48,0,48
2021,soybeans,planted_acres_1000,29,0,29
2021,winter_wheat,planted_acres_1000,35,0,35
2022,corn,planted_acres_1000,48,0,48
2022,soybeans,planted_acres_1000,29,0,29
2022,winter_wheat,planted_acres_1000,35,0,35
2023,corn,planted_acres_1000,48,0,48
2023,soybeans,planted_acres_1000,29,0,29
2023,winter_wheat,planted_acres_1000,35,0,35
2024,corn,planted_acres_1000,48,0,48
2024,soybeans,planted_acres_1000,29,0,29
2024,winter_wheat,planted_acres_1000,35,1,34
2016,corn,yield_bushels_per_acre,48,7,41
2016,soybeans,yield_bushels_per_acre,31,0,31
2016,winter_wheat,yield_bushels_per_acre,42,0,42
2017,corn,yield_bushels_per_acre,48,7,41
2017,soybeans,yield_bushels_per_acre,31,0,31
2017,winter_wheat,yield_bushels_per_acre,42,0,42
2018,corn,yield_bushels_per_acre,48,7,41
2018,soybeans,yield_bushels_per_acre,31,0,31
2018,winter_wheat,yield_bushels_per_acre,42,0,42
2019,corn,yield_bushels_per_acre,48,7,41
2019,soybeans,yield_bushels_per_acre,29,0,29
2019,winter_wheat,yield_bushels_per_acre,35,0,35
2020,corn,yield_bushels_per_acre,48,7,41
2020,soybeans,yield_bushels_per_acre,29,0,29
2020,winter_wheat,yield_bushels_per_acre,35,0,35
2021,corn,yield_bushels_per_acre,48,7,41
2021,soybeans,yield_bushels_per_acre,29,0,29
2021,winter_wheat,yield_bushels_per_acre,35,0,35
2022,corn,yield_bushels_per_acre,48,7,41
2022,soybeans,yield_bushels_per_acre,29,0,29
2022,winter_wheat,yield_bushels_per_acre,35,0,35
2023,corn,yield_bushels_per_acre,48,7,41
2023,soybeans,yield_bushels_per_acre,29,0,29
2023,winter_wheat,yield_bushels_per_acre,35,0,35
2024,corn,yield_bushels_per_acre,48,7,41
2024,soybeans,yield_bushels_per_acre,29,0,29
2024,winter_wheat,yield_bushels_per_acre,35,1,34
