state,year,ranking_definition,kendall_tau_b,spearman_rho,spearman_valid,pairwise_inversions,pairwise_ties,inversion_intensity,top_rank_disagreement,score_leader_unique,acreage_leader_unique,score_leaders,acreage_leaders,score_top_second_gap,claim_level
United States,2016,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2017,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2018,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,soybeans,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2019,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2020,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2021,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2022,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2023,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2024,relative_yield,,,False,0,3,0,False,False,True,corn;soybeans;winter_wheat,corn,0,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2016,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,109.08205308,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2017,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,149.020371148,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2018,standardized_revenue,0.333333333333,0.5,True,1,0,0.333333333333,True,True,True,corn,soybeans,198.6417657,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2019,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,286.392729479,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2020,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,152.212454608,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2021,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,326.015922554,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2022,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,487.196290944,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2023,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,233.86626117,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2024,standardized_revenue,1,1,True,0,0,0,False,True,True,corn,corn,208.877,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2016,operating_margin,0.333333333333,0.5,True,1,0,0.333333333333,True,True,True,soybeans,corn,126.49126644,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2017,operating_margin,0.333333333333,0.5,True,1,0,0.333333333333,True,True,True,soybeans,corn,66.205965692,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2018,operating_margin,0.333333333333,0.5,True,1,0,0.333333333333,True,True,True,corn,soybeans,16.79208245,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2019,operating_margin,1,1,True,0,0,0,False,True,True,corn,corn,100.283037959,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2020,operating_margin,0.333333333333,0.5,True,1,0,0.333333333333,True,True,True,soybeans,corn,18.006021672,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2021,operating_margin,1,1,True,0,0,0,False,True,True,corn,corn,141.323962934,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2022,operating_margin,1,1,True,0,0,0,False,True,True,corn,corn,217.856043504,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2023,operating_margin,1,1,True,0,0,0,False,True,True,corn,corn,16.11777372,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2024,operating_margin,1,1,True,0,0,0,False,True,True,corn,corn,17.777,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2016,total_cost_margin,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,soybeans,corn,171.38011275,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2017,total_cost_margin,-0.333333333333,-0.5,True,2,0,0.666666666667,True,True,True,soybeans,corn,102.128211352,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2018,total_cost_margin,0.333333333333,0.5,True,1,0,0.333333333333,False,True,True,soybeans,soybeans,26.679698325,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2019,total_cost_margin,0.333333333333,0.5,True,1,0,0.333333333333,False,True,True,corn,corn,33.326248229,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2020,total_cost_margin,0.333333333333,0.5,True,1,0,0.333333333333,True,True,True,soybeans,corn,73.783964412,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2021,total_cost_margin,1,1,True,0,0,0,False,True,True,corn,corn,90.526149294,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2022,total_cost_margin,1,1,True,0,0,0,False,True,True,corn,corn,166.084577604,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2023,total_cost_margin,-1,-1,True,3,0,1,True,True,True,winter_wheat,corn,0.99037419,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
United States,2024,total_cost_margin,-1,-1,True,3,0,1,True,True,True,winter_wheat,corn,43.334,DESCRIPTIVE_RANK_AGREEMENT_NOT_CAUSAL
