state,year,crop,ranking_definition,score,score_rank,planted_acres_1000,acreage_rank,observed_acreage_share,score_top,acreage_top,decision_year,lag_year,prior_score,prior_score_rank,prior_acreage_share,prior_acreage_rank,prior_score_top,prior_acreage_top,acreage_share_change,score_rank_change,acreage_rank_change,timing_status
Alabama,2017,corn,operating_margin,277.05047962,3,250,2,0.333333333333,False,False,2017,2016,70.9046415,3,0.336734693878,2,False,False,-0.00340136054422,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2017,soybeans,operating_margin,343.9935744,1,350,1,0.466666666667,True,True,2017,2016,186.12958518,2,0.428571428571,1,False,True,0.0380952380952,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2017,winter_wheat,operating_margin,315.72416198,2,150,3,0.2,False,False,2017,2016,217.3537674,1,0.234693877551,3,True,False,-0.034693877551,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2018,corn,operating_margin,250.83188775,2,260,2,0.339869281046,False,False,2018,2017,277.05047962,3,0.333333333333,2,False,False,0.00653594771242,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2018,soybeans,operating_margin,207.18396625,3,345,1,0.450980392157,False,True,2018,2017,343.9935744,1,0.466666666667,1,True,True,-0.0156862745098,2,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2018,winter_wheat,operating_margin,307.759071,1,160,3,0.209150326797,True,False,2018,2017,315.72416198,2,0.2,3,False,False,0.00915032679739,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2019,corn,operating_margin,274.37928018,1,320,1,0.447552447552,True,True,2019,2018,250.83188775,2,0.339869281046,2,False,False,0.107683166507,-1,-1,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2019,soybeans,operating_margin,149.99940525,3,265,2,0.370629370629,False,False,2019,2018,207.18396625,3,0.450980392157,1,False,True,-0.0803510215275,0,1,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2019,winter_wheat,operating_margin,247.66772965,2,130,3,0.181818181818,False,False,2019,2018,307.759071,1,0.209150326797,3,True,False,-0.0273321449792,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2020,corn,operating_margin,304.14856478,1,330,1,0.442953020134,True,True,2020,2019,274.37928018,1,0.447552447552,1,True,True,-0.00459942741822,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2020,soybeans,operating_margin,263.58168639,2,280,2,0.375838926174,False,False,2020,2019,149.99940525,3,0.370629370629,2,False,False,0.00520955554513,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2020,winter_wheat,operating_margin,253.315733,3,135,3,0.181208053691,False,False,2020,2019,247.66772965,2,0.181818181818,3,False,False,-0.000610128126907,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2021,corn,operating_margin,547.66248124,1,355,1,0.422619047619,True,True,2021,2020,304.14856478,1,0.442953020134,1,True,True,-0.0203339725152,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2021,soybeans,operating_margin,413.61784037,3,310,2,0.369047619048,False,False,2021,2020,263.58168639,2,0.375838926174,2,False,False,-0.00679130712688,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2021,winter_wheat,operating_margin,482.26666327,2,175,3,0.208333333333,False,False,2021,2020,253.315733,3,0.181208053691,3,False,False,0.0271252796421,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2022,corn,operating_margin,263.17697769,3,300,2,0.357142857143,False,False,2022,2021,547.66248124,1,0.422619047619,1,True,True,-0.0654761904762,2,1,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2022,soybeans,operating_margin,305.76249198,2,360,1,0.428571428571,False,True,2022,2021,413.61784037,3,0.369047619048,2,False,False,0.0595238095238,-1,-1,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2022,winter_wheat,operating_margin,492.42917493,1,180,3,0.214285714286,True,False,2022,2021,482.26666327,2,0.208333333333,3,False,False,0.00595238095238,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2023,corn,operating_margin,336.7889943,2,330,2,0.372881355932,False,False,2023,2022,263.17697769,3,0.357142857143,2,False,False,0.0157384987893,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2023,soybeans,operating_margin,288.2791899,3,350,1,0.395480225989,False,True,2023,2022,305.76249198,2,0.428571428571,1,False,True,-0.0330912025827,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2023,winter_wheat,operating_margin,405.9504684,1,205,3,0.231638418079,True,False,2023,2022,492.42917493,1,0.214285714286,3,True,False,0.0173527037934,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2024,corn,operating_margin,9.98,3,270,2,0.364864864865,False,False,2024,2023,336.7889943,2,0.372881355932,2,False,False,-0.00801649106734,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2024,soybeans,operating_margin,63.96,2,360,1,0.486486486486,False,True,2024,2023,288.2791899,3,0.395480225989,1,False,True,0.0910062604978,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Alabama,2024,winter_wheat,operating_margin,239.22,1,110,3,0.148648648649,True,False,2024,2023,405.9504684,1,0.231638418079,3,True,False,-0.0829897694304,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Arkansas,2017,corn,operating_margin,343.59685562,2,620,2,0.142528735632,False,False,2017,2016,290.20583592,2,0.186046511628,2,False,False,-0.0435177759957,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Arkansas,2017,soybeans,operating_margin,403.3734176,1,3530,1,0.811494252874,True,True,2017,2016,371.59260138,1,0.766217870257,1,True,True,0.0452763826165,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Arkansas,2017,winter_wheat,operating_margin,162.15560198,3,200,3,0.0459770114943,False,False,2017,2016,135.16973316,3,0.0477356181151,3,False,False,-0.0017586066208,0,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Arkansas,2018,corn,operating_margin,357.64062525,1,660,2,0.160388821385,True,False,2018,2017,343.59685562,2,0.142528735632,2,False,False,0.017860085753,-1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
Arkansas,2018,soybeans,operating_margin,314.74223875,2,3280,1,0.797083839611,False,True,2018,2017,403.3734176,1,0.811494252874,1,True,True,-0.0144104132624,1,0,STRICTLY_LAGGED_NO_LOOKAHEAD
