state,year,crop,ranking_definition,score,score_rank,planted_acres_1000,acreage_rank,observed_acreage_share,score_top,acreage_top
Alabama,2016,corn,relative_yield,0.687285223368,2,330,2,0.336734693878,False,False
Alabama,2016,soybeans,relative_yield,0.616570327553,3,420,1,0.428571428571,False,True
Alabama,2016,winter_wheat,relative_yield,1.26582278481,1,230,3,0.234693877551,True,False
Alabama,2017,corn,relative_yield,0.9456398641,2,250,2,0.333333333333,False,False
Alabama,2017,soybeans,relative_yield,0.933062880325,3,350,1,0.466666666667,False,True
Alabama,2017,winter_wheat,relative_yield,1.53386454183,1,150,3,0.2,True,False
Alabama,2018,corn,relative_yield,0.884353741497,2,260,2,0.339869281046,False,False
Alabama,2018,soybeans,relative_yield,0.794573643411,3,345,1,0.450980392157,False,True
Alabama,2018,winter_wheat,relative_yield,1.50313152401,1,160,3,0.209150326797,True,False
Alabama,2019,corn,relative_yield,0.877611940299,2,320,1,0.447552447552,False,True
Alabama,2019,soybeans,relative_yield,0.759493670886,3,265,2,0.370629370629,False,False
Alabama,2019,winter_wheat,relative_yield,1.34328358209,1,130,3,0.181818181818,True,False
Alabama,2020,corn,relative_yield,0.921820303384,2,330,1,0.442953020134,False,True
Alabama,2020,soybeans,relative_yield,0.803921568627,3,280,2,0.375838926174,False,False
Alabama,2020,winter_wheat,relative_yield,1.41453831041,1,135,3,0.181208053691,True,False
Alabama,2021,corn,relative_yield,0.920903954802,2,355,1,0.422619047619,False,True
Alabama,2021,soybeans,relative_yield,0.894941634241,3,310,2,0.369047619048,False,False
Alabama,2021,winter_wheat,relative_yield,1.65338645418,1,175,3,0.208333333333,True,False
Alabama,2022,corn,relative_yield,0.680507497116,3,300,2,0.357142857143,False,False
Alabama,2022,soybeans,relative_yield,0.826612903226,2,360,1,0.428571428571,False,True
Alabama,2022,winter_wheat,relative_yield,1.53191489362,1,180,3,0.214285714286,True,False
Alabama,2023,corn,relative_yield,0.924985899605,2,330,2,0.372881355932,False,False
Alabama,2023,soybeans,relative_yield,0.849802371542,3,350,1,0.395480225989,False,True
Alabama,2023,winter_wheat,relative_yield,1.48221343874,1,205,3,0.231638418079,True,False
Alabama,2024,corn,relative_yield,0.624651422197,2,270,2,0.364864864865,False,False
Alabama,2024,soybeans,relative_yield,0.611439842209,3,360,1,0.486486486486,False,True
Alabama,2024,winter_wheat,relative_yield,1.37330754352,1,110,3,0.148648648649,True,False
Arkansas,2016,corn,relative_yield,0.979381443299,1,760,2,0.186046511628,True,False
Arkansas,2016,soybeans,relative_yield,0.905587668593,3,3130,1,0.766217870257,False,True
Arkansas,2016,winter_wheat,relative_yield,0.976491862568,2,195,3,0.0477356181151,False,False
Arkansas,2017,corn,relative_yield,1.0362400906,1,620,2,0.142528735632,True,False
Arkansas,2017,soybeans,relative_yield,1.03448275862,3,3530,1,0.811494252874,False,True
Arkansas,2017,winter_wheat,relative_yield,1.03585657371,2,200,3,0.0459770114943,False,False
Arkansas,2018,corn,relative_yield,1.02607709751,2,660,2,0.160388821385,False,False
Arkansas,2018,soybeans,relative_yield,0.988372093023,3,3280,1,0.797083839611,False,True
Arkansas,2018,winter_wheat,relative_yield,1.14822546973,1,175,3,0.0425273390036,True,False
Arkansas,2019,corn,relative_yield,1.0447761194,1,770,2,0.218130311615,True,False
Arkansas,2019,soybeans,relative_yield,1.03375527426,2,2650,1,0.750708215297,False,True
Arkansas,2019,winter_wheat,relative_yield,0.970149253731,3,110,3,0.0311614730878,False,False
Arkansas,2020,corn,relative_yield,1.07351225204,2,620,2,0.172942817294,False,False
Arkansas,2020,soybeans,relative_yield,1.00980392157,3,2820,1,0.786610878661,False,True
Arkansas,2020,winter_wheat,relative_yield,1.08055009823,1,145,3,0.0404463040446,True,False
Arkansas,2021,corn,relative_yield,1.0395480226,2,850,2,0.207317073171,False,False
Arkansas,2021,soybeans,relative_yield,0.992217898833,3,3040,1,0.741463414634,False,True
Arkansas,2021,winter_wheat,relative_yield,1.15537848606,1,210,3,0.0512195121951,True,False
Arkansas,2022,corn,relative_yield,0.997693194925,3,710,2,0.172749391727,False,False
Arkansas,2022,soybeans,relative_yield,1.04838709677,2,3180,1,0.773722627737,False,True
