state,year,crop,planted_acres_1000,yield_bushels_per_acre,source_path,source_table,source_unit_acres,source_unit_yield,national_nass_yield_bushels_per_acre,national_planted_acres_1000,harvest_price_usd_per_bushel,operating_cost_usd_per_planted_acre,total_cost_usd_per_planted_acre,cpi_u_deflator_to_2024,primary_margin_real_2024_usd_per_planted_acre,relative_yield,standardized_revenue_real_2024_usd_per_acre,standardized_operating_margin_real_2024_usd_per_acre,standardized_total_cost_margin_real_2024_usd_per_acre,observed_acreage_share,geographic_price_cost_scope,observed_allocation_interpretation,lagged_relative_yield,score_rank,acreage_rank
Alabama,2024,corn,270.0,112.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.6246514221974344,444.64000000000004,9.980000000000018,-433.6699999999999,0.36486486486486486,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8027466983608412,3.0,2.0
Alabama,2024,soybeans,360.0,31.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.611439842209073,307.52,63.95999999999998,-343.31000000000006,0.4864864864864865,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8382076373836542,2.0,1.0
Alabama,2024,winter_wheat,110.0,71.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.3733075435203095,393.34,239.21999999999997,2.3699999999999477,0.14864864864864866,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.5070641661760995,1.0,3.0
Arkansas,2024,corn,500.0,187.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.0429447852760736,742.39,307.72999999999996,-135.91999999999996,0.1358695652173913,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0149210475471167,3.0,2.0
Arkansas,2024,soybeans,3050.0,55.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,1.0848126232741617,545.6,302.04,-105.23000000000002,0.8288043478260869,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0577903863317608,2.0,1.0
Arkansas,2024,winter_wheat,130.0,56.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.0831721470019342,310.24,156.12,-80.73000000000002,0.035326086956521736,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.1270708939534102,1.0,3.0
Delaware,2024,corn,165.0,171.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.9537088678192972,678.87,244.20999999999998,-199.43999999999994,0.4230769230769231,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0231910022892405,2.0,1.0
Delaware,2024,soybeans,155.0,45.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.8875739644970414,446.4,202.83999999999997,-204.43000000000006,0.3974358974358974,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8880131964809383,3.0,2.0
Delaware,2024,winter_wheat,70.0,72.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.3926499032882012,398.88,244.76,7.909999999999968,0.1794871794871795,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.7176015473887813,1.0,3.0
Georgia,2024,corn,375.0,163.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.9090909090909091,647.11,212.45,-231.19999999999993,0.5434782608695652,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9953073495746462,2.0,1.0
