state,year,crop,ranking_definition,score,score_rank,planted_acres_1000,observed_acreage_share,acreage_rank
Alabama,2022,corn,relative_yield,0.6805074971164936,3.0,300.0,0.35714285714285715,2.0
Alabama,2022,soybeans,relative_yield,0.8266129032258064,2.0,360.0,0.42857142857142855,1.0
Alabama,2022,winter_wheat,relative_yield,1.5319148936170213,1.0,180.0,0.21428571428571427,3.0
Alabama,2023,corn,relative_yield,0.9249858996051888,2.0,330.0,0.3728813559322034,2.0
Alabama,2023,soybeans,relative_yield,0.849802371541502,3.0,350.0,0.3954802259887006,1.0
Alabama,2023,winter_wheat,relative_yield,1.4822134387351777,1.0,205.0,0.23163841807909605,3.0
Alabama,2024,corn,relative_yield,0.6246514221974344,2.0,270.0,0.36486486486486486,2.0
Alabama,2024,soybeans,relative_yield,0.611439842209073,3.0,360.0,0.4864864864864865,1.0
Alabama,2024,winter_wheat,relative_yield,1.3733075435203095,1.0,110.0,0.14864864864864866,3.0
Arkansas,2022,corn,relative_yield,0.9976931949250288,3.0,710.0,0.17274939172749393,2.0
Arkansas,2022,soybeans,relative_yield,1.0483870967741935,2.0,3180.0,0.7737226277372263,1.0
Arkansas,2022,winter_wheat,relative_yield,1.127659574468085,1.0,220.0,0.0535279805352798,3.0
Arkansas,2023,corn,relative_yield,1.0321489001692046,3.0,850.0,0.20935960591133004,2.0
Arkansas,2023,soybeans,relative_yield,1.0671936758893281,2.0,2980.0,0.7339901477832512,1.0
Arkansas,2023,winter_wheat,relative_yield,1.1264822134387351,1.0,230.0,0.05665024630541872,3.0
Arkansas,2024,corn,relative_yield,1.0429447852760736,3.0,500.0,0.1358695652173913,2.0
Arkansas,2024,soybeans,relative_yield,1.0848126232741617,1.0,3050.0,0.8288043478260869,1.0
Arkansas,2024,winter_wheat,relative_yield,1.0831721470019342,2.0,130.0,0.035326086956521736,3.0
Delaware,2022,corn,relative_yield,0.9803921568627451,2.0,160.0,0.4,1.0
Delaware,2022,soybeans,relative_yield,0.8669354838709677,3.0,160.0,0.4,1.0
Delaware,2022,winter_wheat,relative_yield,1.6170212765957446,1.0,80.0,0.2,3.0
Delaware,2023,corn,relative_yield,1.065989847715736,2.0,175.0,0.43209876543209874,1.0
Delaware,2023,soybeans,relative_yield,0.9090909090909091,3.0,150.0,0.37037037037037035,2.0
Delaware,2023,winter_wheat,relative_yield,1.8181818181818181,1.0,80.0,0.19753086419753085,3.0
Delaware,2024,corn,relative_yield,0.9537088678192972,2.0,165.0,0.4230769230769231,1.0
Delaware,2024,soybeans,relative_yield,0.8875739644970414,3.0,155.0,0.3974358974358974,2.0
Delaware,2024,winter_wheat,relative_yield,1.3926499032882012,1.0,70.0,0.1794871794871795,3.0
Georgia,2022,corn,relative_yield,1.0092272202998847,2.0,415.0,0.532051282051282,1.0
Georgia,2022,soybeans,relative_yield,0.8266129032258064,3.0,165.0,0.21153846153846154,3.0
Georgia,2022,winter_wheat,relative_yield,1.2340425531914894,1.0,200.0,0.2564102564102564,2.0
Georgia,2023,corn,relative_yield,0.9813874788494077,2.0,485.0,0.5773809523809523,1.0
Georgia,2023,soybeans,relative_yield,0.849802371541502,3.0,160.0,0.19047619047619047,3.0
Georgia,2023,winter_wheat,relative_yield,1.0869565217391304,1.0,195.0,0.23214285714285715,2.0
Georgia,2024,corn,relative_yield,0.9090909090909091,3.0,375.0,0.5434782608695652,1.0
Georgia,2024,soybeans,relative_yield,0.9270216962524654,2.0,170.0,0.2463768115942029,2.0
Georgia,2024,winter_wheat,relative_yield,1.1411992263056092,1.0,145.0,0.21014492753623187,3.0
Illinois,2022,corn,relative_yield,1.2341407151095731,3.0,10800.0,0.4853932584269663,1.0
Illinois,2022,soybeans,relative_yield,1.2701612903225805,2.0,10800.0,0.4853932584269663,1.0
Illinois,2022,winter_wheat,relative_yield,1.6808510638297873,1.0,650.0,0.029213483146067417,3.0
Illinois,2023,corn,relative_yield,1.161872532430908,3.0,11200.0,0.5002233139794551,1.0
Illinois,2023,soybeans,relative_yield,1.2450592885375493,2.0,10350.0,0.46225993747208577,2.0
Illinois,2023,winter_wheat,relative_yield,1.7193675889328062,1.0,840.0,0.037516748548459135,3.0
Illinois,2024,corn,relative_yield,1.2102621305075292,3.0,10800.0,0.4827894501564595,1.0
Illinois,2024,soybeans,relative_yield,1.26232741617357,2.0,10800.0,0.4827894501564595,1.0
Illinois,2024,winter_wheat,relative_yield,1.6634429400386845,1.0,770.0,0.03442109968708091,3.0
Indiana,2022,corn,relative_yield,1.0957324106113033,3.0,5250.0,0.46093064091308167,2.0
Indiana,2022,soybeans,relative_yield,1.159274193548387,2.0,5850.0,0.5136084284460053,1.0
Indiana,2022,winter_wheat,relative_yield,1.7234042553191489,1.0,290.0,0.025460930640913083,3.0
Indiana,2023,corn,relative_yield,1.1449520586576423,3.0,5450.0,0.479964773227653,2.0
Indiana,2023,soybeans,relative_yield,1.2055335968379446,2.0,5500.0,0.484368119771026,1.0
Indiana,2023,winter_wheat,relative_yield,1.8181818181818181,1.0,405.0,0.035667107001321,3.0
Indiana,2024,corn,relative_yield,1.1042944785276072,3.0,5200.0,0.45977011494252873,2.0
Indiana,2024,soybeans,relative_yield,1.1637080867850098,2.0,5800.0,0.5128205128205128,1.0
Indiana,2024,winter_wheat,relative_yield,1.7214700193423598,1.0,310.0,0.027409372236958444,3.0
Kansas,2022,corn,relative_yield,0.6632064590542099,2.0,5500.0,0.3081232492997199,2.0
Kansas,2022,soybeans,relative_yield,0.5544354838709677,3.0,5050.0,0.28291316526610644,3.0
Kansas,2022,winter_wheat,relative_yield,0.7872340425531915,1.0,7300.0,0.40896358543417366,1.0
Kansas,2023,corn,relative_yield,0.6711787930062041,2.0,5750.0,0.31455142231947486,2.0
