ranking_definition,year,states,mean_inversions,top_reversal_rate,strong_reversal_rate
operating_margin,2022,26,1.6538461538461537,0.7307692307692307,0.38461538461538464
operating_margin,2023,26,2.076923076923077,0.8846153846153846,0.6923076923076923
operating_margin,2024,25,1.64,0.84,0.52
relative_yield,2022,26,2.1153846153846154,0.9230769230769231,0.8461538461538461
relative_yield,2023,26,2.1153846153846154,0.8461538461538461,0.8076923076923077
relative_yield,2024,25,2.12,0.84,0.8
standardized_revenue,2022,26,1.3076923076923077,0.6538461538461539,0.038461538461538464
standardized_revenue,2023,26,1.0769230769230769,0.6153846153846154,0.038461538461538464
standardized_revenue,2024,25,0.76,0.6,0.04
total_cost_margin,2022,26,1.8846153846153846,0.8076923076923077,0.7307692307692307
total_cost_margin,2023,26,2.1538461538461537,0.8846153846153846,0.8076923076923077
total_cost_margin,2024,25,2.08,0.84,0.8
