ranking_definition,term,estimate,ci_low,ci_high,states,crop_transitions,bootstrap_replications,proxy_status,claim_level
operating_margin,intercept,-0.00279409935383,-0.00716744598754,0.00178538437435,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
operating_margin,lag_score_z,-0.006213245709,-0.0126482219576,-0.00166904000304,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
operating_margin,lag_acreage_share,0.00959621646031,-0.00374750502218,0.0234348892585,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
operating_margin,score_x_lag_share,0.0412908415833,0.0268312456231,0.0637154005667,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
operating_margin,year_2024,0.000842744656262,-0.000747547724571,0.00245186440062,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
relative_yield,intercept,0.00214371649294,-0.00379874418234,0.0123515969298,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
relative_yield,lag_score_z,-0.00831184798845,-0.0169795693543,-0.00266888910452,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
relative_yield,lag_acreage_share,-0.000937035128814,-0.0290205632791,0.0144148706081,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
relative_yield,score_x_lag_share,0.024773047165,-0.00124078489397,0.0516487557768,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
relative_yield,year_2024,-4.58852942445e-05,-0.000930564036302,0.000348269859822,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
standardized_revenue,intercept,0.00091203554693,-0.00647569058032,0.0094940311489,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
standardized_revenue,lag_score_z,0.00651326539873,-0.0026092444481,0.0172647474583,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
standardized_revenue,lag_acreage_share,-0.00265307008039,-0.0270674777618,0.0180511764693,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
standardized_revenue,score_x_lag_share,-0.000893525990093,-0.0230535744243,0.0220418936216,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
standardized_revenue,year_2024,2.83341710618e-05,-0.00086348016862,0.000739139291747,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
total_cost_margin,intercept,0.00073660517941,-0.00514826085703,0.00851467811795,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
total_cost_margin,lag_score_z,-0.00861644734217,-0.020528763419,-0.00185441136446,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
total_cost_margin,lag_acreage_share,0.00629544711612,-0.0127497225984,0.03074990494,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
total_cost_margin,score_x_lag_share,0.0550582091455,0.0324205663138,0.0954329958992,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
total_cost_margin,year_2024,0.000273246368354,-0.00146573552163,0.00195604239688,26,153,5000,PRIOR_ACREAGE_INERTIA_PROXY_NOT_OPERATIONAL_CONSTRAINT,DESCRIPTIVE_ASSOCIATION_NOT_CAUSAL
