ranking_definition,robustness_check,minimum,maximum,cells,claim_level
operating_margin,LEAVE_ONE_STATE_OUT_INVERSION,0.585585585586,0.617117117117,26,DESCRIPTIVE_ROBUSTNESS
operating_margin,YEAR_RANGE_INVERSION,0.546666666667,0.692307692308,3,DESCRIPTIVE_ROBUSTNESS
operating_margin,NATIONAL_AGGREGATION_INVERSION,0,0,3,DESCRIPTIVE_AGGREGATION_BOUNDARY
relative_yield,LEAVE_ONE_STATE_OUT_INVERSION,0.693693693694,0.734234234234,26,DESCRIPTIVE_ROBUSTNESS
relative_yield,YEAR_RANGE_INVERSION,0.705128205128,0.706666666667,3,DESCRIPTIVE_ROBUSTNESS
relative_yield,NATIONAL_AGGREGATION_INVERSION,0,0,3,DESCRIPTIVE_AGGREGATION_BOUNDARY
standardized_revenue,LEAVE_ONE_STATE_OUT_INVERSION,0.333333333333,0.364864864865,26,DESCRIPTIVE_ROBUSTNESS
standardized_revenue,YEAR_RANGE_INVERSION,0.253333333333,0.435897435897,3,DESCRIPTIVE_ROBUSTNESS
standardized_revenue,NATIONAL_AGGREGATION_INVERSION,0,0,3,DESCRIPTIVE_AGGREGATION_BOUNDARY
total_cost_margin,LEAVE_ONE_STATE_OUT_INVERSION,0.671111111111,0.702702702703,26,DESCRIPTIVE_ROBUSTNESS
total_cost_margin,YEAR_RANGE_INVERSION,0.628205128205,0.717948717949,3,DESCRIPTIVE_ROBUSTNESS
total_cost_margin,NATIONAL_AGGREGATION_INVERSION,0.666666666667,0.666666666667,3,DESCRIPTIVE_AGGREGATION_BOUNDARY
