ranking_definition,state,years,mean_inversion_intensity,minimum_inversion_intensity,maximum_inversion_intensity,top_reversal_rate,claim_level
operating_margin,Alabama,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Arkansas,3,0.333333333333,0.333333333333,0.333333333333,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Delaware,3,0.555555555556,0.333333333333,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Georgia,3,0.222222222222,0,0.333333333333,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Illinois,3,0.111111111111,0,0.333333333333,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Indiana,3,0.666666666667,0.333333333333,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Kansas,3,0.444444444444,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Kentucky,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Maryland,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Michigan,3,0.555555555556,0.333333333333,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Mississippi,3,0.111111111111,0,0.333333333333,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Missouri,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Nebraska,3,0.111111111111,0,0.333333333333,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,New Jersey,2,1,1,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,New York,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,North Carolina,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,North Dakota,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Ohio,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Oklahoma,3,0.555555555556,0,1,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Pennsylvania,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,South Carolina,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,South Dakota,3,0.333333333333,0.333333333333,0.333333333333,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
