state,decision_year,lag_year,crop,ranking_definition,lag_score,lag_score_rank,lag_score_z,lag_score_top,lag_acreage_share,observed_acreage_share,acreage_share_change,lag_acreage_rank,acreage_rank,acreage_rank_change,score_rank,score_rank_change,lag_acreage_top,acreage_top,timing_status,claim_level
Alabama,2023,2022,corn,operating_margin,263.17697769,3,-0.743098252193,False,0.357142857143,0.372881355932,0.0157384987893,2,2,0,2,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Alabama,2023,2022,soybeans,operating_margin,305.76249198,2,-0.393861705216,False,0.428571428571,0.395480225989,-0.0330912025827,1,1,0,3,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Alabama,2023,2022,winter_wheat,operating_margin,492.42917493,1,1.13695995741,True,0.214285714286,0.231638418079,0.0173527037934,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Alabama,2024,2023,corn,operating_margin,336.7889943,2,-0.116405990977,False,0.372881355932,0.364864864865,-0.00801649106734,2,2,0,3,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Alabama,2024,2023,soybeans,operating_margin,288.2791899,3,-0.936702645238,False,0.395480225989,0.486486486486,0.0910062604978,1,1,0,2,-1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Alabama,2024,2023,winter_wheat,operating_margin,405.9504684,1,1.05310863621,True,0.231638418079,0.148648648649,-0.0829897694304,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Arkansas,2023,2022,corn,operating_margin,645.19251489,1,1.02457818443,True,0.172749391727,0.209359605911,0.0366102141838,2,2,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Arkansas,2023,2022,soybeans,operating_margin,464.81772645,2,-0.0511170440773,False,0.773722627737,0.733990147783,-0.039732479954,1,1,0,2,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Arkansas,2023,2022,winter_wheat,operating_margin,310.15717128,3,-0.973461140357,False,0.0535279805353,0.0566502463054,0.00312226577014,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Arkansas,2024,2023,corn,operating_margin,433.0261869,1,0.579226258411,True,0.209359605911,0.135869565217,-0.0734900406939,2,2,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Arkansas,2024,2023,soybeans,operating_margin,432.66586365,2,0.575472245873,False,0.733990147783,0.828804347826,0.0948142000428,1,1,0,2,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
