ranking_definition,year,states,mean_inversion_intensity,top_reversal_rate,strong_reversal_rate,claim_level
operating_margin,2022,26,0.551282051282,0.730769230769,0.384615384615,DESCRIPTIVE_YEAR_HETEROGENEITY
operating_margin,2023,26,0.692307692308,0.884615384615,0.692307692308,DESCRIPTIVE_YEAR_HETEROGENEITY
operating_margin,2024,25,0.546666666667,0.84,0.52,DESCRIPTIVE_YEAR_HETEROGENEITY
relative_yield,2022,26,0.705128205128,0.923076923077,0.846153846154,DESCRIPTIVE_YEAR_HETEROGENEITY
relative_yield,2023,26,0.705128205128,0.846153846154,0.807692307692,DESCRIPTIVE_YEAR_HETEROGENEITY
relative_yield,2024,25,0.706666666667,0.84,0.8,DESCRIPTIVE_YEAR_HETEROGENEITY
standardized_revenue,2022,26,0.435897435897,0.653846153846,0.0384615384615,DESCRIPTIVE_YEAR_HETEROGENEITY
standardized_revenue,2023,26,0.358974358974,0.615384615385,0.0384615384615,DESCRIPTIVE_YEAR_HETEROGENEITY
standardized_revenue,2024,25,0.253333333333,0.6,0.04,DESCRIPTIVE_YEAR_HETEROGENEITY
total_cost_margin,2022,26,0.628205128205,0.807692307692,0.730769230769,DESCRIPTIVE_YEAR_HETEROGENEITY
total_cost_margin,2023,26,0.717948717949,0.884615384615,0.807692307692,DESCRIPTIVE_YEAR_HETEROGENEITY
total_cost_margin,2024,25,0.693333333333,0.84,0.8,DESCRIPTIVE_YEAR_HETEROGENEITY
