bootstrap_replication,solver_status,first_reversal_risk_tolerance,expected_profit,cvar_loss,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,allocation_Corn,score_Corn,allocation_Soybean,score_Soybean,allocation_Winter_Wheat,score_Winter_Wheat
0,optimal,0.1,162.582306162,-11.6647596641,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.240092953853,0.0001,0.0001,0.359210773862,0.7151364118,0.400696272285,0.66190986524,0.240092953853,0.828759805672
1,optimal,0,238.670907203,-51.9292266868,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.296812063947,0.0001,0.0001,0.3285347388,0.752138738661,0.374653197253,0.722296993804,0.296812063947,0.943585561834
2,optimal,0,221.610268247,-73.20592363,2,Winter Wheat<Soybean;Corn<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.269484185779,0.0001,0.0001,0.184942960633,0.748377825597,0.545572853589,0.736988897836,0.269484185779,0.934169960579
3,optimal,0.2,202.748163905,-31.1796114426,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.29450947974,0.0001,0.0001,0.13709418835,0.745535031469,0.56839633191,0.761569631996,0.29450947974,0.877944091735
4,optimal,0,178.15680889,-78.8440221496,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.171586282933,0.0001,0.0001,0.327291089596,0.749815528992,0.501122627471,0.784519387389,0.171586282933,0.87688424809
5,optimal,0,224.376481681,-76.3473835341,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.108920350561,0.0001,0.0001,0.298092812279,0.769622967905,0.592986837161,0.815162571049,0.108920350561,0.930210705925
6,optimal,0,215.057692244,-67.1577234122,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.133388299943,0.0001,0.0001,0.309493296471,0.7334200225,0.557118403586,0.715342960345,0.133388299943,0.885121298533
7,optimal,0.2,187.873478829,-10.424704818,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.19558232016,0.0001,0.0001,0.338471693202,0.73891020347,0.465945986639,0.724739212533,0.19558232016,0.860598293678
8,optimal,0,248.412858657,-80.7520317993,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.167491640846,0.0001,0.0001,0.182508359154,0.77242763644,0.65,0.783625272472,0.167491640846,0.943655469995
9,optimal,0,239.623394108,-104.193901929,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.158176644906,0.0001,0.0001,0.191823355094,0.753569267506,0.65,0.804773697662,0.158176644906,0.904627835216
10,optimal,0,197.341344242,-1.77474487681,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.1967873618,0.0001,0.0001,0.339033164781,0.735413105988,0.464179473419,0.705192587401,0.1967873618,0.861237689081
11,optimal,0,208.487187794,-74.0636990649,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.171993167597,0.0001,0.0001,0.327480671571,0.748444337923,0.500526160831,0.755591099424,0.171993167597,0.893657755436
12,optimal,0,195.555420401,-76.1993459811,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.188964724972,0.0001,0.0001,0.33538832123,0.739166408424,0.475646953798,0.761033149397,0.188964724972,0.864524564164
13,optimal,0.3,189.558133487,-13.5434180118,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.26367172066,0.0001,0.0001,0.218936301392,0.742131281779,0.517391977948,0.760478810322,0.26367172066,0.882311876866
14,optimal,0,184.898281298,-85.9279617379,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.115093128327,0.0001,0.0001,0.30096892806,0.747795610039,0.583937943613,0.794816158463,0.115093128327,0.856527262671
15,optimal,0,218.114274632,-28.6026154723,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.158220779186,0.0001,0.0001,0.191779220814,0.75977105383,0.65,0.767230234886,0.158220779186,0.90640370102
16,optimal,0,188.390178153,-39.1591615624,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.229240394679,0.0001,0.0001,0.341343565575,0.757283046384,0.429416039747,0.754578934245,0.229240394679,0.903819680495
17,optimal,0.1,214.124004532,-28.7129727313,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.202367515578,0.0001,0.0001,0.341633156057,0.748883558961,0.455999328365,0.751161214629,0.202367515578,0.912629021649
18,optimal,0,247.413407706,-66.8960757106,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.1537827065,0.0001,0.0001,0.204065920498,0.77242763644,0.642151373002,0.783625272472,0.1537827065,0.943655469995
19,optimal,0.1,184.267482412,-23.49816156,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.229045698487,0.0001,0.0001,0.338570675371,0.736636985232,0.432383626143,0.709033381283,0.229045698487,0.889966385947
20,optimal,0,200.355316187,-117.546604499,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.27997165122,0.748818987248,0.65,0.789594573861,0.0700283487798,0.888826052816
21,optimal,0,198.156475131,-84.3512023351,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.138144267365,0.0001,0.0001,0.311709270134,0.743384028477,0.550146462501,0.791697560714,0.138144267365,0.874296342626
22,optimal,0,229.43646827,-100.766240752,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.072149680637,0.0001,0.0001,0.277850319363,0.758283703706,0.65,0.791552924624,0.072149680637,0.908746371543
23,optimal,0.1,169.331793079,-32.8081788711,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.233355400319,0.0001,0.0001,0.356071509048,0.729960225188,0.410573090634,0.693095625834,0.233355400319,0.840866355854
24,optimal,0,259.739697337,-143.470376362,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0814398994336,0.0001,0.0001,0.268560100566,0.774037546512,0.65,0.799061297158,0.0814398994336,0.949423322141
25,optimal,0.1,249.52351644,-86.2007756631,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.2136934906,0.0001,0.0001,0.1363065094,0.776457302751,0.65,0.817197816267,0.2136934906,0.965715730535
26,optimal,0,176.644974765,-76.7609375087,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.216232855542,0.0001,0.0001,0.348093509011,0.735558041122,0.435673635447,0.708830772387,0.216232855542,0.855593946801
27,optimal,0,226.704854361,-41.7848167559,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.143132414457,0.0001,0.0001,0.206867585543,0.760891413687,0.65,0.806781311254,0.143132414457,0.912750297858
28,optimal,0,193.645806672,-11.4538516232,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.153585113692,0.0001,0.0001,0.318903707303,0.733977343206,0.527511179004,0.714697658667,0.153585113692,0.854208227594
29,optimal,0.1,232.794288885,-63.9680801261,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.156193093515,0.0001,0.0001,0.193806906485,0.764239941178,0.65,0.796372893887,0.156193093515,0.947435227772
30,optimal,0,171.292521587,-70.8559176096,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.158397374989,0.0001,0.0001,0.321145910276,0.729422767124,0.520456714735,0.764976436751,0.158397374989,0.813305875854
31,optimal,0,229.782290369,-50.9179963503,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.118791350427,0.0001,0.0001,0.302692060715,0.765675359258,0.578516588857,0.792942868164,0.118791350427,0.913338325213
32,optimal,0,123.433668713,-8.25978855193,3,Winter Wheat<Corn;Winter Wheat<Soybean;Corn<Soybean,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.246008177049,0.0001,0.0001,0.361966885847,0.705990733123,0.392024937104,0.637212224355,0.246008177049,0.779841768557
