case_id,varied_factor,varied_value,scenario_count,seed,tau,student_t_copula_df,alpha,risk_tolerance,evaluation_marginal,variance_target,selected_gamma,selected_gamma_is_interior,weak_failure_gamma_intervals,strong_failure_gamma_intervals,selected_weak_failure,selected_strong_failure,tail_and_ceiling_conditions_numerically_dependent,selected_gaussian_variance_reduction_fraction,selected_allocation_L1_from_xT,selected_evaluation_CVaR_minus_xT,selected_evaluation_CVaR_minus_ceiling,selected_solver_status,selected_feasibility_max_violation
baseline,baseline,baseline,4096,202607350034,0.25,4,0.95,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,True,True,True,0.152559512984,0.0896739482188,2.36420456275,2.36420456275,optimal,1.7763568394e-15
scenario_count_2048,scenario_count,2048,2048,202607350034,0.25,4,0.95,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0096,0.0068-0.0096,True,True,True,0.154307559056,0.124045759689,2.67887976496,2.67887976496,optimal,3.5527136788e-15
scenario_count_8192,scenario_count,8192,8192,202607350034,0.25,4,0.95,0.5,student_t_df5,0.15,0.0081,True,0.0067-0.0092,0.0067-0.0092,True,True,True,0.15699394151,0.140562265712,3.90704512537,3.90704512537,optimal,3.77475828373e-15
seed_202607350035,seed,202607350035,4096,202607350035,0.25,4,0.95,0.5,student_t_df5,0.15,0.009,True,0.0074-0.0103,0.0074-0.0103,True,True,True,0.152421338268,0.133159194517,3.79570664555,3.79570664555,optimal,3.22438609146e-09
seed_202607350036,seed,202607350036,4096,202607350036,0.25,4,0.95,0.5,student_t_df5,0.15,0.0085,True,0.0070-0.0089,0.0070-0.0089,True,True,True,0.152419239348,0.0587359439981,1.4439571768,1.4439571768,optimal,3.10862446895e-15
kendall_tau_0.15,kendall_tau,0.15,4096,202607350034,0.15,4,0.95,0.5,student_t_df5,0.15,0.0077,True,0.0065-0.0085,0.0065-0.0085,True,True,True,0.15058513833,0.0988262423068,3.42107568679,3.42107568679,optimal,1.13242748512e-14
kendall_tau_0.35,kendall_tau,0.35,4096,202607350034,0.35,4,0.95,0.5,student_t_df5,0.15,0.0087,True,0.0072-0.0094,0.0072-0.0094,True,True,True,0.156788203602,0.10905489354,2.01135713476,2.01135713476,optimal,2.22044604925e-16
student_t_copula_df_3,student_t_copula_df,3,4096,202607350034,0.25,3,0.95,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0091,0.0068-0.0091,True,True,True,0.152559512984,0.114283696492,2.95362576895,2.95362576895,optimal,1.7763568394e-15
student_t_copula_df_6,student_t_copula_df,6,4096,202607350034,0.25,6,0.95,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0094,0.0068-0.0094,True,True,True,0.152559512984,0.136328023318,3.70452297002,3.70452297002,optimal,1.7763568394e-15
student_t_copula_df_10,student_t_copula_df,10,4096,202607350034,0.25,10,0.95,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0097,0.0068-0.0097,True,True,True,0.152559512984,0.126181347239,3.89385861406,3.89385861406,optimal,1.7763568394e-15
cvar_alpha_0.9,cvar_alpha,0.9,4096,202607350034,0.25,4,0.9,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0083,0.0068-0.0083,True,True,True,0.152559512984,0.0266183002856,0.372088370742,0.372088370742,optimal,1.7763568394e-15
cvar_alpha_0.99,cvar_alpha,0.99,4096,202607350034,0.25,4,0.99,0.5,student_t_df5,0.15,0.0082,True,0.0068-0.0099,0.0068-0.0099,True,True,True,0.152559512984,0.15572194469,8.55317108642,8.55317108642,optimal,1.7763568394e-15
risk_ceiling_path_0.4,risk_ceiling_path,0.4,4096,202607350034,0.25,4,0.95,0.4,student_t_df5,0.15,0.0082,True,0.0068-0.0097,0.0068-0.0097,True,True,True,0.152559512984,0.1747398265,4.20116846753,4.20116846753,optimal,1.7763568394e-15
risk_ceiling_path_0.6,risk_ceiling_path,0.6,4096,202607350034,0.25,4,0.95,0.6,student_t_df5,0.15,0.0082,True,0.0068-0.0082,0.0068-0.0082,True,True,True,0.152559512984,0.0187179792363,0.527240657977,0.527240657977,optimal,1.7763568394e-15
evaluation_marginal_gaussian,evaluation_marginal,gaussian,4096,202607350034,0.25,4,0.95,0.5,gaussian,0.15,0.0082,True,0.0068-0.0089,0.0068-0.0089,True,True,True,0.152559512984,0.0675526071454,1.5180243506,1.5180243506,optimal,1.7763568394e-15
evaluation_marginal_empirical_quantile,evaluation_marginal,empirical_quantile,4096,202607350034,0.25,4,0.95,0.5,empirical_quantile,0.15,0.0082,True,0.0068-0.0300,0.0068-0.0300,True,True,True,0.152559512984,0.204264748152,2.75836335696,2.75836335696,optimal,1.7763568394e-15
selection_target_0.1,selection_target,0.1,4096,202607350034,0.25,4,0.95,0.5,student_t_df5,0.1,0.0077,True,0.0068-0.0088,0.0068-0.0088,True,True,True,0.108473140272,0.155843004661,4.31638307126,4.31638307126,optimal,2.22044604925e-16
selection_target_0.2,selection_target,0.2,4096,202607350034,0.25,4,0.95,0.5,student_t_df5,0.2,0.0089,True,0.0068-0.0088,0.0068-0.0088,False,False,True,0.202245392078,0.00952757863061,0.224383545783,0.224383545783,optimal,2.44249065418e-15
