mechanism,operational_path,stage_index,stage,soybean_rotation_cap,fixed_risk_ceiling,risk_ceiling_declared_nonbinding,focal_high_rank_crop,focal_low_rank_crop,score_high,score_low,mean_margin_high,mean_margin_low,solver_status,evidence_class,allocation_high,allocation_low,allocation_high_minus_low,selected_focal_pair_reversal,expected_profit,cvar_loss,cvar_slack,active_set,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,first_operational_crossing_cap
operational,registered_constraint_sequence,0,land_only,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,1,0,1,False,229.572129682,-1.4171164769,643.04611943,land;lower_bound;upper_bound,0,1,0,1,Winter Wheat<Soybean,True,False,True,Winter Wheat=0<Soybean,selected_strong_reversal,Winter Wheat,0,0.0001,0.0001,0.35
operational,registered_constraint_sequence,1,crop_bounds,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.3,0.35,False,216.488215111,-32.3188388668,673.94784182,land;lower_bound;upper_bound,0.3,0.65,0.05,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.05,0.0001,0.0001,0.35
operational,registered_constraint_sequence,2,budget,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.27997165122,0.37002834878,False,215.233824577,-32.6918628618,674.320865815,land;budget;upper_bound,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.35
operational,registered_constraint_sequence,3,corn_rotation,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.27997165122,0.37002834878,False,215.233824577,-32.6918628618,674.320865815,land;budget;upper_bound,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.35
operational,registered_constraint_sequence,4,soybean_contract,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.27997165122,0.37002834878,False,215.233824577,-32.6918628618,674.320865815,land;budget;upper_bound,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.35
operational,registered_constraint_sequence,5,planting_labour,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.27997165122,0.37002834878,False,215.233824577,-32.6918628618,674.320865815,land;budget;upper_bound,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.35
operational,registered_constraint_sequence,6,harvest_equipment,,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.27997165122,0.37002834878,False,215.233824577,-32.6918628618,674.320865815,land;budget;upper_bound,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.35
operational,soybean_rotation_tightening,0,soybean_rotation_cap_0.65,0.65,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.65,0.27997165122,0.37002834878,False,215.233824577,-32.6918628618,674.320865815,land;budget;rotation;upper_bound,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0.35
operational,soybean_rotation_tightening,1,soybean_rotation_cap_0.60,0.6,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.6,0.295863736623,0.304136263377,False,211.675852114,-35.6707550594,677.299758012,land;budget;rotation,0.295863736623,0.6,0.104136263377,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.104136263377,0.0001,0.0001,0.35
operational,soybean_rotation_tightening,2,soybean_rotation_cap_0.55,0.55,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.55,0.311755822026,0.238244177974,False,208.117879651,-38.3691487512,679.998151704,land;budget;rotation,0.311755822026,0.55,0.138244177974,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.138244177974,0.0001,0.0001,0.35
operational,soybean_rotation_tightening,3,soybean_rotation_cap_0.50,0.5,641.629002953,True,Soybean,Corn,0.755591099424,0.748444337923,229.572129682,201.136766822,optimal,REGISTERED_CONTROLLED_OPERATIONAL_STRESS_TEST,0.5,0.327647907429,0.172352092571,False,204.559907188,-40.8236954206,682.452698374,land;budget;rotation,0.327647907429,0.5,0.172352092571,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.172352092571,0.0001,0.0001,0.35
