dimension,setting,alpha,family,tau,marginal,n,seed,window_start,solver,constraint_regime,solver_status,cvar_limit,pairwise_reversal_count,reversed_pairs,selected_reversal,strong_reversal,classification,top_ranked_crop,top_ranked_allocation,expected_profit,cvar_loss,active_set,kkt_primal_residual,kkt_stationarity_residual,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat
baseline,baseline,0.95,student_t,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,-46.9850131494,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.247831338047,198.483845681,-46.9850131494,land;cvar,1.42108547152e-14,2.84217094304e-14,0.33026489325,0.421903768704,0.247831338047
alpha,0.9,0.9,student_t,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,-81.5713182717,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.128929530415,210.860754582,-81.5713182717,land;budget;cvar,4.26325641456e-14,1.98951966013e-13,0.307415797833,0.563654671751,0.128929530415
alpha,0.95,0.95,student_t,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,-12.2237510769,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.178449490247,205.082133405,-12.2237510769,land;cvar,1.11022302463e-13,5.68434188608e-14,0.290977834758,0.530572674995,0.178449490247
alpha,0.99,0.99,student_t,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,26.0012360889,1,Winter Wheat<Soybean,True,False,weak_reversal,Winter Wheat,0.263581001525,202.119522122,26.0012360889,land;cvar,2.13162820728e-14,8.52651282912e-14,0.15022270933,0.586196289145,0.263581001525
dependence_family,gaussian,0.95,gaussian,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,-41.6994170118,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.172654186202,201.82372425,-41.6994170118,land;budget;cvar,1.42108547152e-14,8.52651282912e-14,0.32778866355,0.499557150248,0.172654186202
dependence_family,student_t,0.95,student_t,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,-18.0586074367,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.229528175033,199.611055493,-18.0586074367,land;cvar,4.08562073062e-14,2.84217094304e-14,0.307944679037,0.46252714593,0.229528175033
dependence_family,clayton,0.95,clayton,0.25,student_t_df5,512,202607270034,2016,highs,full,optimal,-26.4338673052,1,Winter Wheat<Soybean,True,False,weak_reversal,Winter Wheat,0.236972483723,194.491099187,-26.4338673052,land;cvar,0,1.70530256582e-13,0.216996251279,0.546031264999,0.236972483723
dependence_parameter,0.0,0.95,student_t,0,student_t_df5,512,202607270034,2016,highs,full,optimal,-71.1773107146,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.190323262586,210.374333928,-71.1773107146,land;cvar,1.4921397451e-13,2.84217094304e-14,0.251654146213,0.558022591201,0.190323262586
dependence_parameter,0.15,0.95,student_t,0.15,student_t_df5,512,202607270034,2016,highs,full,optimal,-40.6093348069,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.202186797941,199.762171047,-40.6093348069,land;budget;cvar,1.43884903991e-13,2.84217094304e-14,0.341548953309,0.456264248749,0.202186797941
dependence_parameter,0.3,0.95,student_t,0.3,student_t_df5,512,202607270034,2016,highs,full,optimal,-46.8047914492,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,strong_reversal,Winter Wheat,0.210852989705,202.615402332,-46.8047914492,land;cvar,2.84217094304e-14,5.68434188608e-14,0.290850561481,0.498296448814,0.210852989705
