policy,mechanism_stage,status,expected_profit,var_loss,cvar_loss,worst_decile_profit,budget_usage,acreage_usage,cvar_violation,budget_violation,acreage_violation,lower_bound_violation,upper_bound_violation,rotation_violation,contract_violation,acres_Corn,acres_Soybean,acres_Winter Wheat,selected_reversal,cell_id,replication_seed,scenario_sha256,copula_family,marginal_family,kendall_tau,alpha,risk_limit
ranking_proportional_repaired,ranking,repaired,336.75375285722197,-184.4139963285603,-130.36955014814404,130.38925178582667,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-001,2026071901,fadeb46d9a179f49a30d031d955f704c4fff42862948bff3adcab2549f28bf7e,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-118.50214169200552
expected_profit,economic_plus_operational,optimal,355.4772980576782,-171.1037276015036,-104.8890837687357,104.91322199225867,372.9890358551444,1.0,True,False,False,False,False,False,False,0.7168859582485827,0.19850010205821747,0.08461393969319983,False,LHS-01-001,2026071901,fadeb46d9a179f49a30d031d955f704c4fff42862948bff3adcab2549f28bf7e,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-118.50214169200552
mean_variance,variance_penalty,optimal,355.47729806204825,-171.1037276044379,-104.88908377049746,104.91322199402084,372.9890358591767,1.0000000000129794,True,False,False,False,False,False,False,0.7168859582540983,0.19850010206363522,0.08461393969524585,False,LHS-01-001,2026071901,fadeb46d9a179f49a30d031d955f704c4fff42862948bff3adcab2549f28bf7e,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-118.50214169200552
loss_CVaR,economic_operational_plus_CVaR,optimal,354.8151564960303,-180.400100287818,-118.50214169200251,118.52470628910244,353.8431889452969,1.0,False,False,False,False,False,False,False,0.616698376302756,0.29868768400404416,0.08461393969319983,False,LHS-01-001,2026071901,fadeb46d9a179f49a30d031d955f704c4fff42862948bff3adcab2549f28bf7e,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-118.50214169200552
ranking_proportional_repaired,ranking,repaired,337.1884387070553,-182.2801742989213,-129.19310322075341,129.21245585203994,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-001,2026071902,0b6c1301ed5d9fada950525286429a539091cb83660159b8c9a82e0dd9b7feb0,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-117.35897658694779
expected_profit,economic_plus_operational,optimal,356.12885036207,-169.77914954090582,-103.78409611218193,103.80815428510054,372.9890358551444,1.0,True,False,False,False,False,False,False,0.7168859582485827,0.19850010205821747,0.08461393969319983,False,LHS-01-001,2026071902,0b6c1301ed5d9fada950525286429a539091cb83660159b8c9a82e0dd9b7feb0,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-117.35897658694779
mean_variance,variance_penalty,optimal,356.12885036207,-169.77914954090582,-103.78409611218193,103.80815428510054,372.9890358551444,1.0,True,False,False,False,False,False,False,0.7168859582485827,0.19850010205821747,0.08461393969319983,False,LHS-01-001,2026071902,0b6c1301ed5d9fada950525286429a539091cb83660159b8c9a82e0dd9b7feb0,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-117.35897658694779
loss_CVaR,economic_operational_plus_CVaR,optimal,355.39431514034874,-180.266079437876,-117.35897658694498,117.38190906263166,353.8526276745756,1.0,False,False,False,False,False,False,False,0.6167477678740731,0.298638292432727,0.08461393969319983,False,LHS-01-001,2026071902,0b6c1301ed5d9fada950525286429a539091cb83660159b8c9a82e0dd9b7feb0,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-117.35897658694779
ranking_proportional_repaired,ranking,repaired,338.33043840791885,-187.79745082371298,-132.17005977219878,132.19033846466738,310.75119901298854,1.0,False,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-001,2026071903,ffd6abdde688fb704300e41027163222a5bfed161717b51c28da685c76b63293,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-121.08664054354433
expected_profit,economic_plus_operational,optimal,357.9206457153031,-174.3446249646471,-108.37289360332572,108.39694327429909,372.9890358551444,1.0,True,False,False,False,False,False,False,0.7168859582485827,0.19850010205821747,0.08461393969319983,False,LHS-01-001,2026071903,ffd6abdde688fb704300e41027163222a5bfed161717b51c28da685c76b63293,gaussian,gaussian,0.41464332945773824,0.9082334652395776,-121.08664054354433
