design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,allocation_l1,16,16,1.125,0.3111092166847875,1.9388907833152125,0.8138907833152125,1.627781566630425,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,selected_reversal_change,16,16,0.0,0.0,0.3184753189377552,0.1592376594688776,0.3184753189377552,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,allocation_l1,16,16,1.125,0.3111092166847875,1.9388907833152125,0.8138907833152125,1.627781566630425,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,selected_reversal_change,16,16,0.0,0.0,0.3184753189377552,0.1592376594688776,0.3184753189377552,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,allocation_l1,16,16,1.125,0.3111092166847875,1.9388907833152125,0.8138907833152125,1.627781566630425,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,selected_reversal_change,16,16,0.0,0.0,0.3184753189377552,0.1592376594688776,0.3184753189377552,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,allocation_l1,16,16,0.875,0.061109216684787526,1.6888907833152125,0.8138907833152125,1.627781566630425,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,selected_reversal_change,16,16,1.0,0.6815246810622447,0.9999999999999999,0.15923765946887758,0.31847531893775516,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,allocation_l1,32,32,1.0,0.47307152841693534,1.5269284715830647,0.5269284715830647,1.0538569431661293,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,selected_reversal_change,32,32,0.0,0.0,0.18939675553056382,0.09469837776528191,0.18939675553056382,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,allocation_l1,32,32,1.0,0.47307152841693534,1.5269284715830647,0.5269284715830647,1.0538569431661293,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,selected_reversal_change,32,32,0.0,0.0,0.18939675553056382,0.09469837776528191,0.18939675553056382,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,allocation_l1,32,32,1.0,0.47307152841693534,1.5269284715830647,0.5269284715830647,1.0538569431661293,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,selected_reversal_change,32,32,0.0,0.0,0.18939675553056382,0.09469837776528191,0.18939675553056382,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,allocation_l1,32,32,1.0,0.47307152841693534,1.5269284715830647,0.5269284715830647,1.0538569431661293,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,selected_reversal_change,32,32,1.0,0.8106032444694361,0.9999999999999999,0.0946983777652819,0.1893967555305638,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,selected_reversal_change,48,48,0.0,0.0,0.13477302846159397,0.06738651423079699,0.13477302846159397,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,selected_reversal_change,48,48,0.0,0.0,0.13477302846159397,0.06738651423079699,0.13477302846159397,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,selected_reversal_change,48,48,0.0,0.0,0.13477302846159397,0.06738651423079699,0.13477302846159397,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
