cell_id,replications,optimal_replications,selected_reversal_probability,selected_reversal_wilson_low,selected_reversal_wilson_high,selected_reversal_wilson_width,possible_reversal_probability,universal_reversal_probability,pseudo_diversification_probability,expected_profit_mean,expected_profit_mcse,expected_profit_replication_min,expected_profit_replication_max,cvar_loss_mean,cvar_loss_mcse,cvar_loss_replication_min,cvar_loss_replication_max,allocation_Corn_mean,allocation_Corn_mcse,allocation_Corn_replication_min,allocation_Corn_replication_max,allocation_Soybean_mean,allocation_Soybean_mcse,allocation_Soybean_replication_min,allocation_Soybean_replication_max,allocation_Winter Wheat_mean,allocation_Winter Wheat_mcse,allocation_Winter Wheat_replication_min,allocation_Winter Wheat_replication_max,cell_type,copula_family,marginal_family,kendall_tau,alpha,risk_limit_frontier_quantile,budget_to_max_cost_ratio,dominant_crop_cap_share,contract_minimum_share
LHS-01-001,5,5,0,0,0.4344824648,0.4344824648,0,0,0,354.8742974,0.8210947493,351.9324791,356.9744732,-119.3711232,0.6493813716,-121.0866405,-117.3589766,0.6180782681,0.0006605574163,0.6166983763,0.6202406062,0.2973077922,0.0006605574163,0.2951454541,0.298687684,0.08461393969,0,0.08461393969,0.08461393969,lhs,gaussian,gaussian,0.4146433295,0.9082334652,0.4657453392,0.9252671896,0.7168859582,0.08461393969
LHS-01-002,5,5,0,0,0.4344824648,0.4344824648,0,0,0,350.1590527,0.7152642249,347.5858465,351.9364632,-99.96009404,1.396205889,-103.0991747,-95.07865747,0.5153783187,0.0002422517148,0.5147421924,0.5160754982,0.3830677859,0.0002422517148,0.3823706063,0.3837039122,0.1015538954,0,0.1015538954,0.1015538954,lhs,gaussian,student_t_df5,0.4271681584,0.9325466288,0.8453226299,0.7685928617,0.6934374775,0.1015538954
LHS-01-003,5,5,1,0.5655175352,1,0.4344824648,1,1,0,353.2897117,0.5370143702,351.3672345,354.3573548,-186.2977066,0.5727538989,-188.0482654,-184.9799802,0.4154188274,0,0.4154188274,0.4154188274,0.5052917759,0,0.5052917759,0.5052917759,0.07928939666,0,0.07928939666,0.07928939666,lhs,gaussian,empirical_resample,0.1894958887,0.922272115,0.1496230586,0.9072995249,0.4154188274,0.07928939666
LHS-01-004,5,5,1,0.5655175352,1,0.4344824648,1,1,1,338.6698777,0.517370813,336.8851736,339.8021249,-131.4026838,0.4888699264,-133.0887398,-130.4170739,0.3882949712,0,0.3882949712,0.3882949712,0.4666952675,0,0.4666952675,0.4666952675,0.1450097613,0,0.1450097613,0.1450097613,lhs,gaussian,gaussian,0.1199902153,0.9626166792,0.4667576801,0.7012227855,0.9725841398,0.1450097613
LHS-01-005,5,5,0,0,0.4344824648,0.4344824648,0,0,0.8,358.92712,0.5190001301,357.3168807,360.2506825,-134.7810304,0.596916012,-136.6918216,-133.5759342,0.4835350515,0,0.4835350515,0.4835350515,0.4568752893,0,0.4568752893,0.4568752893,0.0595896592,0,0.0595896592,0.0595896592,lhs,gaussian,student_t_df5,0.1580253014,0.9376493661,0.2392486768,0.8631352364,0.4835350515,0.0595896592
LHS-01-006,5,5,0,0,0.4344824648,0.4344824648,0,0,0,350.0804632,0.5777305016,348.0971461,351.4063437,-146.2998581,0.1600549244,-146.8332166,-145.9278953,0.5153009982,0,0.5153009982,0.5153009982,0.3889857904,0,0.3889857904,0.3889857904,0.09571321142,0,0.09571321142,0.09571321142,lhs,gaussian,empirical_resample,0.2802971335,0.9816979854,0.661694752,1.089451429,0.5153009982,0.09571321142
LHS-01-007,5,5,0,0,0.4344824648,0.4344824648,0,0,0,368.2983302,0.8278274896,365.2442897,370.2419385,-111.5209415,0.8615544399,-113.1467915,-108.8294884,0.5517193976,1.765107601e-05,0.5516487933,0.5517370486,0.424095122,1.765107601e-05,0.4240774709,0.4241657263,0.02418548046,0,0.02418548046,0.02418548046,lhs,gaussian,gaussian,0.3846509038,0.9417741678,0.5153150879,0.7979427613,0.8033357686,0.02418548046
LHS-01-008,5,5,0,0,0.4344824648,0.4344824648,0,0,0,367.5294259,0.7581986075,364.8243719,369.4412214,-116.1041748,1.102214568,-118.2379762,-112.0229598,0.581133688,0.002253507025,0.5744675422,0.5878034783,0.3905986011,0.002253507025,0.3839288108,0.397264747,0.02826771085,0,0.02826771085,0.02826771085,lhs,gaussian,student_t_df5,0.4657426205,0.9152413826,0.3455303426,0.8143842111,0.9450546338,0.02826771085
LHS-01-009,5,5,1,0.5655175352,1,0.4344824648,1,1,1,358.7781053,0.5086517935,356.948679,359.6442027,-204.2851858,0.6033724704,-206.2771042,-202.7918511,0.3933090984,0,0.3933090984,0.3933090984,0.5519727076,0,0.5519727076,0.5519727076,0.05471819398,0,0.05471819398,0.05471819398,lhs,gaussian,empirical_resample,0.07528688019,0.9114670988,0.7342379128,1.040930474,0.3933090984,0.05471819398
LHS-01-010,5,5,0,0,0.4344824648,0.4344824648,0,0,0,341.101078,0.6928039909,338.6102876,342.8358383,-95.70290627,1.122205015,-98.37031802,-92.20759336,0.520037285,0.00040189987,0.5190897414,0.5214771742,0.3387316925,0.00040189987,0.3372918033,0.3396792361,0.1412310224,0,0.1412310224,0.1412310224,lhs,gaussian,gaussian,0.21782979,0.964959751,0.2970354211,0.8805356848,0.6693997862,0.1412310224
LHS-01-011,5,5,0,0,0.4344824648,0.4344824648,0,0,1,361.866461,0.4515769329,360.6738796,363.0274452,-165.1942887,0.6356856602,-167.3001676,-163.6272528,0.4992255832,0,0.4992255832,0.4992255832,0.4540242272,0,0.4540242272,0.4540242272,0.04675018957,0,0.04675018957,0.04675018957,lhs,gaussian,student_t_df5,0.008296855769,0.926864837,0.4165745298,1.007008738,0.4992255832,0.04675018957
LHS-01-012,5,5,1,0.5655175352,1,0.4344824648,1,1,0,341.7632993,0.7582836779,338.8694746,343.2787028,-153.6070737,0.14183789,-153.975886,-153.1914854,0.3527589664,0,0.3527589664,0.3527589664,0.5180008739,0,0.5180008739,0.5180008739,0.1292401597,0,0.1292401597,0.1292401597,lhs,gaussian,empirical_resample,0.5642555529,0.9460906447,0.3149617214,0.7304702477,0.3527589664,0.1292401597
LHS-01-013,5,5,0,0,0.4344824648,0.4344824648,0,0,1,342.9228613,0.6514876181,340.5805982,344.5291329,-120.9304368,1.059202093,-123.0171183,-117.5603641,0.5040710475,0.0005944770177,0.5029390718,0.5062320498,0.3631353954,0.0005944770177,0.360974393,0.364267371,0.1327935571,0,0.1327935571,0.1327935571,lhs,gaussian,gaussian,0.1344653416,0.9561411486,0.1818596176,0.8391471993,0.7369034837,0.1327935571
LHS-01-014,5,5,0,0,0.4344824648,0.4344824648,0,0,0,360.8045975,0.7345724569,358.4391748,362.9506432,-10.79069267,4.121956887,-22.36133254,2.17804453,0.7359993286,0.001608264558,0.7310466493,0.7411620028,0.2012342177,0.001608264558,0.1960715435,0.206186897,0.06276645372,0,0.06276645372,0.06276645372,lhs,gaussian,student_t_df5,0.2710423462,0.9695072978,0.5638789308,1.051279632,0.8891627495,0.06276645372
LHS-01-015,5,5,0,0,0.4344824648,0.4344824648,0,0,1,363.8600447,0.6297685548,361.5263186,365.3029253,-179.6363477,0.5517341847,-180.8469189,-178.1349232,0.5567105078,0,0.5567105078,0.5567105078,0.4040939614,0,0.4040939614,0.4040939614,0.03919553074,0,0.03919553074,0.03919553074,lhs,gaussian,empirical_resample,0.03408433291,0.9575980175,0.2036136772,0.9434392098,0.5567105078,0.03919553074
LHS-01-016,5,5,0,0,0.4344824648,0.4344824648,0,0,0,345.0493927,0.8260736882,342.0019805,347.0107579,-115.9918907,0.4816993453,-117.4537911,-114.5189151,0.5128127922,0.0002256105764,0.5121549398,0.5133797959,0.3635436584,0.0002256105764,0.3629766547,0.3642015108,0.1236435494,6.938893904e-18,0.1236435494,0.1236435494,lhs,gaussian,gaussian,0.5776689386,0.9057495332,0.3814538176,1.077627505,0.5727781333,0.1236435494
