ranking_definition,year,states,mean_inversions,top_reversal_rate,strong_reversal_rate
operating_margin,2022,26,1.653846154,0.7307692308,0.3846153846
operating_margin,2023,26,2.076923077,0.8846153846,0.6923076923
operating_margin,2024,25,1.64,0.84,0.52
relative_yield,2022,26,2.115384615,0.9230769231,0.8461538462
relative_yield,2023,26,2.115384615,0.8461538462,0.8076923077
relative_yield,2024,25,2.12,0.84,0.8
standardized_revenue,2022,26,1.307692308,0.6538461538,0.03846153846
standardized_revenue,2023,26,1.076923077,0.6153846154,0.03846153846
standardized_revenue,2024,25,0.76,0.6,0.04
total_cost_margin,2022,26,1.884615385,0.8076923077,0.7307692308
total_cost_margin,2023,26,2.153846154,0.8846153846,0.8076923077
total_cost_margin,2024,25,2.08,0.84,0.8
