figure_id,full_size_text_text,full_size_text_mark,width_89mm_text_text,width_89mm_text_mark,legend_data_overlap,status,reviewed_at
Figure1,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
Figure2,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
Figure3,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
Figure4,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
Figure5,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
Figure6,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
FigureS1,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
FigureS2,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
FigureS3,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
FigureS4,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
FigureS5,PASS,PASS,PASS,PASS,PASS,PASS,2026-07-22
