model_stage,metric,mean,ci_low,ci_high,n
M0,allocation_Corn,1,1,1,16
M0,allocation_Soybean,0,0,0,16
M0,allocation_Winter_Wheat,0,0,0,16
M0,cvar_loss,6.22500836671,-0.448269005656,12.8982857391,16
M0,expected_profit,375.510731679,374.082174489,376.939288868,16
M0,hhi,1,1,1,16
M1,allocation_Corn,1,1,1,16
M1,allocation_Soybean,0,0,0,16
M1,allocation_Winter_Wheat,0,0,0,16
M1,cvar_loss,6.22500836671,-0.448269005656,12.8982857391,16
M1,expected_profit,375.510731679,374.082174489,376.939288868,16
M1,hhi,1,1,1,16
M2,allocation_Corn,0.317645211931,0.317645211931,0.317645211931,16
M2,allocation_Soybean,0.682354788069,0.682354788069,0.682354788069,16
M2,allocation_Winter_Wheat,0,0,0,16
M2,cvar_loss,-116.493618148,-121.0362035,-111.951032796,16
M2,expected_profit,370.625201575,369.604917125,371.645486025,16
M2,hhi,0.566506537463,0.566506537463,0.566506537463,16
M3,allocation_Corn,0.317645211931,0.317645211931,0.317645211931,16
M3,allocation_Soybean,0.682354788069,0.682354788069,0.682354788069,16
M3,allocation_Winter_Wheat,0,0,0,16
M3,cvar_loss,-116.493618148,-121.0362035,-111.951032796,16
M3,expected_profit,370.625201575,369.604917125,371.645486025,16
M3,hhi,0.566506537463,0.566506537463,0.566506537463,16
M4,allocation_Corn,0.317645211931,0.317645211931,0.317645211931,16
M4,allocation_Soybean,0.682354788069,0.682354788069,0.682354788069,16
M4,allocation_Winter_Wheat,0,0,0,16
M4,cvar_loss,-116.493618148,-121.0362035,-111.951032796,16
M4,expected_profit,370.625201575,369.604917125,371.645486025,16
M4,hhi,0.566506537463,0.566506537463,0.566506537463,16
