block,metric,mean,ci_low,ci_high,n,maximum_efficiency_residual
dependence,allocation_Corn,-0.0706679183087,-0.16500694396,0.0236711073429,16,1.42108547152e-14
dependence,allocation_Soybean,0.0706679183087,-0.0236711073429,0.16500694396,16,1.42108547152e-14
dependence,allocation_Winter_Wheat,0,0,0,16,1.42108547152e-14
dependence,cvar_loss,-6.20700455746,-16.1022236355,3.68821452062,16,1.42108547152e-14
dependence,expected_profit,-0.634053536295,-1.27225188966,0.00414481707284,16,1.42108547152e-14
dependence,hhi,0.0172631186772,-0.0035189165371,0.0380451538916,16,1.42108547152e-14
margins,allocation_Corn,0.365597736185,0.269542413173,0.461653059196,16,1.42108547152e-14
margins,allocation_Soybean,-0.365597736185,-0.461653059196,-0.269542413173,16,1.42108547152e-14
margins,allocation_Winter_Wheat,0,0,0,16,1.42108547152e-14
margins,cvar_loss,29.6185197577,20.6840256968,38.5530138186,16,1.42108547152e-14
margins,expected_profit,2.63688802552,1.72517785699,3.54859819404,16,1.42108547152e-14
margins,hhi,-0.104519368609,-0.144229179385,-0.0648095578323,16,1.42108547152e-14
operations,allocation_Corn,-0.344759208055,-0.403221192052,-0.286297224058,16,1.42108547152e-14
operations,allocation_Soybean,0.344759208055,0.286297224058,0.403221192052,16,1.42108547152e-14
operations,allocation_Winter_Wheat,0,0,0,16,1.42108547152e-14
operations,cvar_loss,-57.0536991023,-68.0156389328,-46.0917592719,16,1.42108547152e-14
operations,expected_profit,-2.40673704785,-2.96108088996,-1.85239320573,16,1.42108547152e-14
operations,hhi,-0.151184292989,-0.18287748433,-0.119491101648,16,1.42108547152e-14
risk,allocation_Corn,-0.0700253978901,-0.15292764168,0.0128768458994,16,1.42108547152e-14
risk,allocation_Soybean,0.0700253978901,-0.0128768458994,0.15292764168,16,1.42108547152e-14
risk,allocation_Winter_Wheat,0,0,0,16,1.42108547152e-14
risk,cvar_loss,-28.0004506289,-35.929598776,-20.0713024817,16,1.42108547152e-14
risk,expected_profit,-0.520981972082,-1.1535606702,0.111596726035,16,1.42108547152e-14
risk,hhi,-0.195052919616,-0.2207607082,-0.169345131032,16,1.42108547152e-14
