true_family,assumed_family,risk_violation_rate,mean_feasible_regret,evaluated_n,failed_policy_n,promotion_status
clayton,clayton,0.451612903226,2.53320349307,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
clayton,empirical_copula,0.96875,3.21796857326,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
clayton,gaussian,0.734375,2.56997891991,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
clayton,student_t_df4,0.725806451613,1.9618108648,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
empirical_copula,clayton,0.0645161290323,2.86329555678,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
empirical_copula,empirical_copula,0.46875,0.732960678882,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
empirical_copula,gaussian,0.15625,1.88373294489,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
empirical_copula,student_t_df4,0.145161290323,1.74599133674,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
gaussian,clayton,0.290322580645,2.36957065243,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
gaussian,empirical_copula,0.953125,3.40309742301,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
gaussian,gaussian,0.546875,1.9676313122,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
gaussian,student_t_df4,0.467741935484,1.41279236411,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
student_t_df4,clayton,0.274193548387,2.46208856245,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
student_t_df4,empirical_copula,0.96875,7.90241122767,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
student_t_df4,gaussian,0.546875,2.40378914665,64,0,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
student_t_df4,student_t_df4,0.483870967742,1.60178079113,62,2,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
