archetype,signal_accuracy,flexibility_level,mean,ci_low,ci_high,n
dominated_option_null,0.5,high,0,0,0,16
dominated_option_null,0.5,low,0,0,0,16
dominated_option_null,0.7,high,0,0,0,16
dominated_option_null,0.7,low,0,0,0,16
dominated_option_null,0.9,high,1.11022302463e-16,-1.25616133668e-16,3.47660738593e-16,16
dominated_option_null,0.9,low,1.11022302463e-16,-1.25616133668e-16,3.47660738593e-16,16
robust_option_substitutes,0.5,high,0,0,0,16
robust_option_substitutes,0.5,low,0,0,0,16
robust_option_substitutes,0.7,high,0.00200910732783,-0.00227320357305,0.0062914182287,16
robust_option_substitutes,0.7,low,1.61567432722,1.44918926381,1.78215939063,16
robust_option_substitutes,0.9,high,0.531018214031,0.31272658259,0.749309845471,16
robust_option_substitutes,0.9,low,3.64472184978,3.39592117068,3.89352252889,16
specialization_unlocks,0.5,high,0,0,0,16
specialization_unlocks,0.5,low,0,0,0,16
specialization_unlocks,0.7,high,1.35146950977,1.09845125381,1.60448776573,16
specialization_unlocks,0.7,low,5.55111512313e-17,-6.28080668341e-17,1.73830369297e-16,16
specialization_unlocks,0.9,high,3.25776066213,2.88599097435,3.6295303499,16
specialization_unlocks,0.9,low,-5.55111512313e-17,-2.64950650226e-16,1.53928347764e-16,16
