ranking_definition,omitted_state,state_years,mean_inversion_intensity,mean_kendall_tau_b
operating_margin,Alabama,239,0.405857740586,0.181311018131
operating_margin,Arkansas,239,0.417015341702,0.1589958159
operating_margin,Delaware,239,0.412831241283,0.170780320422
operating_margin,Florida,245,0.413605442177,0.165986394558
operating_margin,Georgia,239,0.418410041841,0.156206415621
operating_margin,Illinois,239,0.42119944212,0.152163208528
operating_margin,Indiana,239,0.415620641562,0.161785216179
operating_margin,Iowa,245,0.413605442177,0.165986394558
operating_margin,Kansas,239,0.400278940028,0.192468619247
operating_margin,Kentucky,239,0.408647140865,0.175732217573
operating_margin,Louisiana,245,0.416326530612,0.160544217687
operating_margin,Maryland,239,0.414225941423,0.164574616457
operating_margin,Michigan,239,0.408647140865,0.17775382112
operating_margin,Minnesota,245,0.413605442177,0.165986394558
operating_margin,Mississippi,239,0.42119944212,0.150627615063
operating_margin,Missouri,239,0.414225941423,0.164574616457
operating_margin,Nebraska,239,0.42119944212,0.150627615063
operating_margin,New Jersey,240,0.408333333333,0.176388888889
operating_margin,New York,239,0.407252440725,0.178521617852
operating_margin,North Carolina,239,0.405857740586,0.181311018131
operating_margin,North Dakota,239,0.408647140865,0.175732217573
operating_margin,Ohio,239,0.411436541144,0.170153417015
operating_margin,Oklahoma,239,0.398884239888,0.195258019526
operating_margin,Pennsylvania,239,0.403068340307,0.186889818689
operating_margin,South Carolina,239,0.407252440725,0.178521617852
operating_margin,South Dakota,239,0.418410041841,0.156206415621
operating_margin,Tennessee,239,0.411436541144,0.170153417015
operating_margin,Texas,239,0.400278940028,0.192468619247
operating_margin,Virginia,239,0.407252440725,0.178521617852
operating_margin,West Virginia,245,0.410884353741,0.171428571429
operating_margin,Wisconsin,239,0.414225941423,0.164574616457
relative_yield,Alabama,239,0.698744769874,-0.407597557481
relative_yield,Arkansas,239,0.704323570432,-0.418755158597
relative_yield,Delaware,239,0.702928870293,-0.411922551225
relative_yield,Florida,245,0.71156462585,-0.432989726141
relative_yield,Georgia,239,0.716875871688,-0.443859761107
relative_yield,Illinois,239,0.695955369596,-0.39797554983
relative_yield,Indiana,239,0.705718270572,-0.421544558876
relative_yield,Iowa,245,0.70612244898,-0.4221053724
relative_yield,Kansas,239,0.722454672245,-0.455017362223
relative_yield,Kentucky,239,0.702928870293,-0.415965758318
relative_yield,Louisiana,245,0.708843537415,-0.427547549271
relative_yield,Maryland,239,0.702928870293,-0.415965758318
relative_yield,Michigan,239,0.700139470014,-0.408365354214
relative_yield,Minnesota,245,0.707482993197,-0.424826460835
relative_yield,Mississippi,239,0.719665271967,-0.449438561665
relative_yield,Missouri,239,0.702928870293,-0.415965758318
