ranking_definition,metric,estimate,ci_low,ci_high,states,state_years,bootstrap_replications,uncertainty_unit
operating_margin,kendall_tau_b,0.170698924731,0.0448756469298,0.299042527497,31,248,5000,STATE_CLUSTER
operating_margin,spearman_rho,0.189516129032,0.0450891427372,0.336782068851,31,248,5000,STATE_CLUSTER
operating_margin,inversion_intensity,0.411290322581,0.346405228758,0.474511465603,31,248,5000,STATE_CLUSTER
operating_margin,top_rank_disagreement,0.625,0.55217265402,0.692913385827,31,248,5000,STATE_CLUSTER
relative_yield,kendall_tau_b,-0.418343345046,-0.573101339191,-0.255919904763,31,248,5000,STATE_CLUSTER
relative_yield,spearman_rho,-0.465040834754,-0.628561246429,-0.286512796023,31,248,5000,STATE_CLUSTER
relative_yield,inversion_intensity,0.704301075269,0.624138268204,0.779614325069,31,248,5000,STATE_CLUSTER
relative_yield,top_rank_disagreement,0.887096774194,0.801649023431,0.953846153846,31,248,5000,STATE_CLUSTER
standardized_revenue,kendall_tau_b,0.40369417907,0.237363067116,0.560621450245,31,248,5000,STATE_CLUSTER
standardized_revenue,spearman_rho,0.462089016981,0.283725726247,0.624304829734,31,248,5000,STATE_CLUSTER
standardized_revenue,inversion_intensity,0.295698924731,0.216534101365,0.379315726032,31,248,5000,STATE_CLUSTER
standardized_revenue,top_rank_disagreement,0.612903225806,0.447257383966,0.767446685323,31,248,5000,STATE_CLUSTER
total_cost_margin,kendall_tau_b,-0.251072525499,-0.386230419702,-0.108297270006,31,248,5000,STATE_CLUSTER
total_cost_margin,spearman_rho,-0.292193958126,-0.443076288291,-0.131440352911,31,248,5000,STATE_CLUSTER
total_cost_margin,inversion_intensity,0.620967741935,0.550847371813,0.688463642214,31,248,5000,STATE_CLUSTER
total_cost_margin,top_rank_disagreement,0.782258064516,0.700787401575,0.856540516705,31,248,5000,STATE_CLUSTER
