ranking_definition,state,years,mean_inversion_intensity,mean_kendall_tau_b,top_disagreement_rate
operating_margin,Alabama,9,0.555555555556,-0.111111111111,0.555555555556
operating_margin,Arkansas,9,0.259259259259,0.481481481481,0.777777777778
operating_margin,Delaware,9,0.37037037037,0.168537416934,0.666666666667
operating_margin,Florida,3,0.222222222222,0.555555555556,0.333333333333
operating_margin,Georgia,9,0.222222222222,0.555555555556,0.111111111111
operating_margin,Illinois,9,0.148148148148,0.662925166132,0.444444444444
operating_margin,Indiana,9,0.296296296296,0.407407407407,0.555555555556
operating_margin,Iowa,3,0.222222222222,0.555555555556,0.666666666667
operating_margin,Kansas,9,0.703703703704,-0.407407407407,1
operating_margin,Kentucky,9,0.481481481481,0.037037037037,0.666666666667
operating_margin,Louisiana,3,0,1,0
operating_margin,Maryland,9,0.333333333333,0.333333333333,0.444444444444
operating_margin,Michigan,9,0.481481481481,-0.0166477682512,0.666666666667
operating_margin,Minnesota,3,0.222222222222,0.555555555556,0.666666666667
operating_margin,Mississippi,9,0.148148148148,0.703703703704,0.444444444444
operating_margin,Missouri,9,0.333333333333,0.333333333333,0.555555555556
operating_margin,Nebraska,9,0.148148148148,0.703703703704,0.444444444444
operating_margin,New Jersey,8,0.5,1.38777878078e-17,0.625
operating_margin,New York,9,0.518518518519,-0.037037037037,0.777777777778
operating_margin,North Carolina,9,0.555555555556,-0.111111111111,0.666666666667
operating_margin,North Dakota,9,0.481481481481,0.037037037037,0.777777777778
operating_margin,Ohio,9,0.407407407407,0.185185185185,0.555555555556
operating_margin,Oklahoma,9,0.740740740741,-0.481481481481,0.888888888889
operating_margin,Pennsylvania,9,0.62962962963,-0.259259259259,0.777777777778
operating_margin,South Carolina,9,0.518518518519,-0.037037037037,0.666666666667
operating_margin,South Dakota,9,0.222222222222,0.555555555556,0.444444444444
operating_margin,Tennessee,9,0.407407407407,0.185185185185,0.666666666667
operating_margin,Texas,9,0.703703703704,-0.407407407407,1
operating_margin,Virginia,9,0.518518518519,-0.037037037037,0.666666666667
operating_margin,West Virginia,3,0.444444444444,0.111111111111,1
operating_margin,Wisconsin,9,0.333333333333,0.333333333333,0.555555555556
relative_yield,Alabama,9,0.851851851852,-0.703703703704,1
relative_yield,Arkansas,9,0.703703703704,-0.407407407407,0.888888888889
relative_yield,Delaware,9,0.740740740741,-0.588851092058,1
relative_yield,Florida,3,0.111111111111,0.777777777778,0
relative_yield,Georgia,9,0.37037037037,0.259259259259,0.777777777778
relative_yield,Illinois,9,0.925925925926,-0.959221462428,1
relative_yield,Indiana,9,0.666666666667,-0.333333333333,1
relative_yield,Iowa,3,0.555555555556,-0.111111111111,0.666666666667
relative_yield,Kansas,9,0.222222222222,0.555555555556,0.111111111111
relative_yield,Kentucky,9,0.740740740741,-0.481481481481,1
relative_yield,Louisiana,3,0.333333333333,0.333333333333,0.666666666667
relative_yield,Maryland,9,0.740740740741,-0.481481481481,1
relative_yield,Michigan,9,0.814814814815,-0.683314434918,1
relative_yield,Minnesota,3,0.444444444444,0.111111111111,0.666666666667
relative_yield,Mississippi,9,0.296296296296,0.407407407407,0.444444444444
relative_yield,Missouri,9,0.740740740741,-0.481481481481,1
relative_yield,Nebraska,9,0.296296296296,0.407407407407,0.888888888889
relative_yield,New Jersey,8,1,-1,1
relative_yield,New York,9,1,-1,1
relative_yield,North Carolina,9,0.777777777778,-0.555555555556,1
relative_yield,North Dakota,9,0.925925925926,-0.851851851852,1
relative_yield,Ohio,9,0.703703703704,-0.407407407407,1
relative_yield,Oklahoma,9,0.592592592593,-0.185185185185,0.777777777778
relative_yield,Pennsylvania,9,1,-1,1
relative_yield,South Carolina,9,0.777777777778,-0.555555555556,1
relative_yield,South Dakota,9,0.814814814815,-0.62962962963,1
relative_yield,Tennessee,9,0.814814814815,-0.62962962963,1
relative_yield,Texas,9,0.481481481481,0.037037037037,0.666666666667
relative_yield,Virginia,9,0.851851851852,-0.703703703704,1
relative_yield,West Virginia,3,0.888888888889,-0.777777777778,1
relative_yield,Wisconsin,9,0.888888888889,-0.777777777778,1
standardized_revenue,Alabama,9,0.444444444444,0.111111111111,0.666666666667
standardized_revenue,Arkansas,9,0.333333333333,0.333333333333,1
standardized_revenue,Delaware,9,0.111111111111,0.703703703704,0
standardized_revenue,Florida,3,0.111111111111,0.777777777778,0
standardized_revenue,Georgia,9,0.222222222222,0.555555555556,0
standardized_revenue,Illinois,9,0,0.959221462428,0
standardized_revenue,Indiana,9,0.333333333333,0.333333333333,1
standardized_revenue,Iowa,3,0,1,0
standardized_revenue,Kansas,9,0.666666666667,-0.333333333333,1
standardized_revenue,Kentucky,9,0.37037037037,0.259259259259,1
standardized_revenue,Louisiana,3,0.333333333333,0.333333333333,1
standardized_revenue,Maryland,9,0.333333333333,0.333333333333,0.777777777778
standardized_revenue,Michigan,9,0.111111111111,0.757388508992,0.111111111111
standardized_revenue,Minnesota,3,0.111111111111,0.777777777778,0.333333333333
standardized_revenue,Mississippi,9,0.333333333333,0.333333333333,1
standardized_revenue,Missouri,9,0.333333333333,0.333333333333,1
standardized_revenue,Nebraska,9,0,1,0
standardized_revenue,New Jersey,8,0.416666666667,0.166666666667,1
standardized_revenue,New York,9,0.037037037037,0.925925925926,0
standardized_revenue,North Carolina,9,0.407407407407,0.185185185185,0.888888888889
standardized_revenue,North Dakota,9,0.37037037037,0.259259259259,1
standardized_revenue,Ohio,9,0.333333333333,0.333333333333,1
standardized_revenue,Oklahoma,9,0.925925925926,-0.851851851852,1
standardized_revenue,Pennsylvania,9,0.037037037037,0.925925925926,0
standardized_revenue,South Carolina,9,0.296296296296,0.407407407407,0.666666666667
standardized_revenue,South Dakota,9,0.0740740740741,0.851851851852,0.222222222222
standardized_revenue,Tennessee,9,0.37037037037,0.259259259259,1
standardized_revenue,Texas,9,0.666666666667,-0.333333333333,1
standardized_revenue,Virginia,9,0.407407407407,0.185185185185,1
standardized_revenue,West Virginia,3,0.222222222222,0.555555555556,0.666666666667
standardized_revenue,Wisconsin,9,0,1,0
total_cost_margin,Alabama,9,0.740740740741,-0.481481481481,1
total_cost_margin,Arkansas,9,0.407407407407,0.185185185185,0.666666666667
total_cost_margin,Delaware,9,0.740740740741,-0.588851092058,0.888888888889
total_cost_margin,Florida,3,0.777777777778,-0.555555555556,1
total_cost_margin,Georgia,9,0.407407407407,0.185185185185,0.666666666667
total_cost_margin,Illinois,9,0.481481481481,-0.0536848052883,0.666666666667
total_cost_margin,Indiana,9,0.62962962963,-0.259259259259,0.666666666667
total_cost_margin,Iowa,3,0.444444444444,0.111111111111,1
total_cost_margin,Kansas,9,0.333333333333,0.333333333333,0.333333333333
total_cost_margin,Kentucky,9,0.666666666667,-0.333333333333,0.777777777778
total_cost_margin,Louisiana,3,0.333333333333,0.333333333333,0.333333333333
total_cost_margin,Maryland,9,0.777777777778,-0.555555555556,1
total_cost_margin,Michigan,9,0.777777777778,-0.609240360844,1
total_cost_margin,Minnesota,3,0.444444444444,0.111111111111,0.666666666667
total_cost_margin,Mississippi,9,0.259259259259,0.481481481481,0.333333333333
total_cost_margin,Missouri,9,0.740740740741,-0.481481481481,0.777777777778
total_cost_margin,Nebraska,9,0.333333333333,0.333333333333,0.777777777778
total_cost_margin,New Jersey,8,0.833333333333,-0.666666666667,1
total_cost_margin,New York,9,0.888888888889,-0.777777777778,1
total_cost_margin,North Carolina,9,0.62962962963,-0.259259259259,0.888888888889
total_cost_margin,North Dakota,9,0.777777777778,-0.555555555556,0.777777777778
total_cost_margin,Ohio,9,0.62962962963,-0.259259259259,0.777777777778
total_cost_margin,Oklahoma,9,0.333333333333,0.333333333333,0.333333333333
total_cost_margin,Pennsylvania,9,0.888888888889,-0.777777777778,1
total_cost_margin,South Carolina,9,0.740740740741,-0.481481481481,1
total_cost_margin,South Dakota,9,0.666666666667,-0.333333333333,0.777777777778
total_cost_margin,Tennessee,9,0.62962962963,-0.259259259259,0.888888888889
total_cost_margin,Texas,9,0.407407407407,0.185185185185,0.444444444444
total_cost_margin,Virginia,9,0.814814814815,-0.62962962963,1
total_cost_margin,West Virginia,3,0.666666666667,-0.333333333333,1
total_cost_margin,Wisconsin,9,0.777777777778,-0.555555555556,0.888888888889
