ranking_definition,year,states,mean_inversion_intensity,mean_kendall_tau_b,top_disagreement_rate
operating_margin,2016,31,0.311827956989,0.376344086022,0.516129032258
operating_margin,2017,31,0.290322580645,0.41935483871,0.451612903226
operating_margin,2018,31,0.440860215054,0.087107747467,0.612903225806
operating_margin,2019,26,0.358974358974,0.282051282051,0.576923076923
operating_margin,2020,26,0.294871794872,0.410256410256,0.5
operating_margin,2021,26,0.25641025641,0.487179487179,0.576923076923
operating_margin,2022,26,0.551282051282,-0.122442439195,0.730769230769
operating_margin,2023,26,0.692307692308,-0.384615384615,0.884615384615
operating_margin,2024,25,0.546666666667,-0.100673470096,0.84
relative_yield,2016,31,0.688172043011,-0.376344086022,0.806451612903
relative_yield,2017,31,0.645161290323,-0.290322580645,0.870967741935
relative_yield,2018,31,0.709677419355,-0.450526661135,0.903225806452
relative_yield,2019,26,0.717948717949,-0.435897435897,0.923076923077
relative_yield,2020,26,0.74358974359,-0.487179487179,0.923076923077
relative_yield,2021,26,0.730769230769,-0.461538461538,0.961538461538
relative_yield,2022,26,0.705128205128,-0.447422813918,0.923076923077
relative_yield,2023,26,0.705128205128,-0.410256410256,0.846153846154
relative_yield,2024,25,0.706666666667,-0.432659863237,0.84
standardized_revenue,2016,31,0.247311827957,0.505376344086,0.612903225806
standardized_revenue,2017,31,0.290322580645,0.41935483871,0.677419354839
standardized_revenue,2018,31,0.301075268817,0.381177309062,0.612903225806
standardized_revenue,2019,26,0.24358974359,0.512820512821,0.538461538462
standardized_revenue,2020,26,0.269230769231,0.461538461538,0.615384615385
standardized_revenue,2021,26,0.269230769231,0.461538461538,0.576923076923
standardized_revenue,2022,26,0.435897435897,0.108326791574,0.653846153846
standardized_revenue,2023,26,0.358974358974,0.282051282051,0.615384615385
standardized_revenue,2024,25,0.253333333333,0.48599319657,0.6
total_cost_margin,2016,31,0.559139784946,-0.118279569892,0.677419354839
total_cost_margin,2017,31,0.602150537634,-0.204301075269,0.741935483871
total_cost_margin,2018,31,0.634408602151,-0.299989026727,0.903225806452
total_cost_margin,2019,26,0.679487179487,-0.358974358974,0.846153846154
total_cost_margin,2020,26,0.525641025641,-0.0512820512821,0.615384615385
total_cost_margin,2021,26,0.564102564103,-0.128205128205,0.730769230769
total_cost_margin,2022,26,0.628205128205,-0.287813971061,0.807692307692
total_cost_margin,2023,26,0.717948717949,-0.435897435897,0.884615384615
total_cost_margin,2024,25,0.693333333333,-0.40599319657,0.84
