ranking_definition,metric,estimate,ci_low,ci_high,states,observations,uncertainty_unit,bootstrap_replications,timing,claim_level
operating_margin,inversion_intensity,0.597402597403,0.493506493506,0.696581196581,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
operating_margin,top_rank_reversal_rate,0.818181818182,0.714285714286,0.92,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
operating_margin,strong_reversal_rate,0.532467532468,0.397197188176,0.671052631579,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
relative_yield,inversion_intensity,0.705627705628,0.605263157895,0.794888888889,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
relative_yield,top_rank_reversal_rate,0.87012987013,0.75641025641,0.961038961039,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
relative_yield,strong_reversal_rate,0.818181818182,0.68,0.935064935065,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
standardized_revenue,inversion_intensity,0.350649350649,0.264957264957,0.437229437229,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
standardized_revenue,top_rank_reversal_rate,0.623376623377,0.434210526316,0.794871794872,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
standardized_revenue,strong_reversal_rate,0.038961038961,0,0.118421052632,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
total_cost_margin,inversion_intensity,0.679653679654,0.580086580087,0.767543859649,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
total_cost_margin,top_rank_reversal_rate,0.844155844156,0.714285714286,0.948051948052,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
total_cost_margin,strong_reversal_rate,0.779220779221,0.628205128205,0.910256410256,26,77,STATE_CLUSTER,5000,CONCURRENT_REALIZED_SCORE,DESCRIPTIVE_IDENTIFIED_OR_ACCOUNTING_IDENTIFIED
