ranking_definition,state,decision_year,lag_score_top_crops,current_score_top_crops,lag_acreage_top_crops,current_acreage_top_crops,score_top_changed,acreage_top_changed,lag_score_top_matches_current_acreage_top,lagged_pairwise_inversions,lagged_pairwise_ties,lagged_inversion_intensity,lagged_top_minus_other_share_change,claim_level
operating_margin,Alabama,2023,winter_wheat,winter_wheat,soybeans,soybeans,False,False,False,2,0,0.666666666667,0.0260290556901,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Alabama,2024,winter_wheat,winter_wheat,soybeans,soybeans,False,False,False,3,0,1,-0.124484654146,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Arkansas,2023,corn,corn,soybeans,soybeans,False,False,False,1,0,0.333333333333,0.0549153212758,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Arkansas,2024,corn,corn,soybeans,soybeans,False,False,False,1,0,0.333333333333,-0.110235061041,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Delaware,2023,corn,winter_wheat,corn;soybeans,corn,True,True,True,1,0,0.333333333333,0.0481481481481,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Delaware,2024,winter_wheat,winter_wheat,corn,corn,False,False,False,2,0,0.666666666667,-0.0270655270655,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Georgia,2023,corn,corn,corn,corn,False,False,True,0,0,0,0.0679945054945,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Georgia,2024,corn,soybeans,corn,corn,True,False,True,0,0,0,-0.0508540372671,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Illinois,2023,corn,soybeans,corn;soybeans,corn,True,True,True,0,0,0,0.0222450833287,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Illinois,2024,soybeans,corn,corn,corn;soybeans,True,True,True,0,1,0,0.0307942690266,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Indiana,2023,corn,winter_wheat,soybeans,soybeans,True,False,False,2,0,0.666666666667,0.0285511984719,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Indiana,2024,winter_wheat,corn,soybeans,soybeans,True,False,False,3,0,1,-0.0123866021465,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Kansas,2023,corn,corn,winter_wheat,winter_wheat,False,False,False,1,0,0.333333333333,0.00964225952963,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Kansas,2024,corn,soybeans,winter_wheat,winter_wheat,True,False,False,1,0,0.333333333333,0.0409238160596,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Kentucky,2023,winter_wheat,winter_wheat,soybeans,soybeans,False,False,False,3,0,1,0.0226389946687,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Kentucky,2024,winter_wheat,corn,soybeans,soybeans,True,False,False,3,0,1,-0.0154298721329,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
operating_margin,Maryland,2023,corn,winter_wheat,soybeans,corn,True,True,True,1,0,0.333333333333,0.0716530483972,DESCRIPTIVE_RANK_TRANSITION_NOT_CAUSAL
