ranking_definition,metric,estimate,ci_low,ci_high,states,observations,uncertainty_unit,bootstrap_replications,timing,claim_level
operating_margin,lagged_inversion_intensity,0.601307189542,0.474358974359,0.724358974359,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
operating_margin,lagged_top_match_rate,0.235294117647,0.102040816327,0.38,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
operating_margin,lagged_top_minus_other_share_change,0.00890707091435,-0.00178530842961,0.0212822946675,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
operating_margin,score_top_change_rate,0.450980392157,0.326923076923,0.56862745098,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
operating_margin,acreage_top_change_rate,0.0980392156863,0,0.22,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
relative_yield,lagged_inversion_intensity,0.705882352941,0.589743589744,0.81045751634,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
relative_yield,lagged_top_match_rate,0.117647058824,0.0196078431373,0.25,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
relative_yield,lagged_top_minus_other_share_change,-0.00468057080751,-0.0130948742937,0.00516871597169,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
relative_yield,score_top_change_rate,0.117647058824,0.0384615384615,0.22,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
relative_yield,acreage_top_change_rate,0.0980392156863,0,0.21568627451,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
standardized_revenue,lagged_inversion_intensity,0.385620915033,0.294871794872,0.477124183007,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
standardized_revenue,lagged_top_match_rate,0.372549019608,0.192307692308,0.557692307692,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
standardized_revenue,lagged_top_minus_other_share_change,0.00501722145874,-0.0015153676457,0.0114378665561,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
standardized_revenue,score_top_change_rate,0.0196078431373,0,0.06,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
standardized_revenue,acreage_top_change_rate,0.0980392156863,0,0.21568627451,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
total_cost_margin,lagged_inversion_intensity,0.653594771242,0.542483660131,0.751633986928,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
total_cost_margin,lagged_top_match_rate,0.156862745098,0.0416666666667,0.28,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
total_cost_margin,lagged_top_minus_other_share_change,0.00165032834016,-0.008634437956,0.0147178220195,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
total_cost_margin,score_top_change_rate,0.117647058824,0.0392156862745,0.204081632653,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
total_cost_margin,acreage_top_change_rate,0.0980392156863,0,0.21568627451,26,51,STATE_CLUSTER,5000,LAGGED_ROLLING_ORIGIN,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
