ranking_definition,year,states,mean_inversions,top_reversal_rate,strong_reversal_rate
operating_margin,2022,26,1.65384615385,0.730769230769,0.384615384615
operating_margin,2023,26,2.07692307692,0.884615384615,0.692307692308
operating_margin,2024,25,1.64,0.84,0.52
relative_yield,2022,26,2.11538461538,0.923076923077,0.846153846154
relative_yield,2023,26,2.11538461538,0.846153846154,0.807692307692
relative_yield,2024,25,2.12,0.84,0.8
standardized_revenue,2022,26,1.30769230769,0.653846153846,0.0384615384615
standardized_revenue,2023,26,1.07692307692,0.615384615385,0.0384615384615
standardized_revenue,2024,25,0.76,0.6,0.04
total_cost_margin,2022,26,1.88461538462,0.807692307692,0.730769230769
total_cost_margin,2023,26,2.15384615385,0.884615384615,0.807692307692
total_cost_margin,2024,25,2.08,0.84,0.8
