source_data,source_sha256,upstream_inputs,upstream_sha256,transformation
visualization/stage_ii/source_data/figure1_architecture.csv,4501672c2fbb59d3ce9e4fb5da8d0bdd393a1fdcdc07d2c4a80f42802f97bc20,visualization/stage_ii/figure_contracts.md,28f310f8a5b2238e36355aa666ba46f6e04184e2873d01910e85dfeea3c983ee,contract extraction
visualization/stage_ii/source_data/figure1_definitions.csv,7296ddaba27029f6f81df99cd0a206a6a54f5ae3c98bf450d1d90b23183e87cc,visualization/stage_ii/figure_contracts.md,28f310f8a5b2238e36355aa666ba46f6e04184e2873d01910e85dfeea3c983ee,contract extraction
visualization/stage_ii/source_data/figure2_geometry.csv,8bf294e2a6fc01362b17e0fa7b70ecd34111e7207c8b2cd8cb5b6ff29a2a9f15,visualization/stage_ii/figure_contracts.md,28f310f8a5b2238e36355aa666ba46f6e04184e2873d01910e85dfeea3c983ee,exact analytic case extraction
visualization/stage_ii/source_data/figure3_nested_summary.csv,52359477e0dd2a6baa439b5e49c0e9501aa36d01f2802a76baeaf368416306b0,simulation/stage_ii/outputs/nested_model_path.csv,9737d68740e1affdf39f57189d4c617a716f3e8a0eaa72993361bac923ceec2e,mean and descriptive 95% t interval across closed-domain attribution seeds
visualization/stage_ii/source_data/figure3_shapley_summary.csv,cacd717a794863be715c3450bc4df51a6bf23094473d450e14eb83475f9821df,simulation/stage_ii/outputs/block_attribution.csv,70cbbbd7fb8e301ac352321b758d862ff211cb14402721834a992d860c65a4a4,all-subset Shapley mean and descriptive 95% t interval
visualization/stage_ii/source_data/figure3_pressure_summary.csv,93102e1c0c836c5191bdb4da38e8037d278359691c7c0ceaf06049b0d84857c6,simulation/stage_ii/outputs/kkt_pressures.csv,de9789897af954ff73e64e6b54e413d2d4846adad7e6b7eab281089ad0e9bc0b,E2 local KKT pressure aggregation by preregistered mechanism class
visualization/stage_ii/source_data/figure4_e2_cells.csv,0ac25f69feb4517e1f2023b61f5815c708341717f395dc0e2996e633e1205749,simulation/stage_ii/outputs/raw_replications.csv,b892eebe3b58d5bed81676164de910caf01d863d70bb6e7709e82868be64db09,E2 cell means and exact face-classification frequencies
visualization/stage_ii/source_data/figure4_e2_contrasts.csv,4b4cb11b3c7c0d8869350ed7fa408dcf06febd67f3b360c14468d87f57135361,simulation/stage_ii/outputs/mechanism_summary.csv,0626a93b465fc7261b9b394c44b8737c68cef5d6ad91f26399f925580991afc9,verbatim family-wise confirmatory E2 contrast summary
visualization/stage_ii/source_data/figure4_e3_adverse.csv,1b4058c5ddd776a49aaa47497b765617614e90feb957d78728eec0d307e77f3f,simulation/stage_ii/outputs/mechanism_summary.csv,0626a93b465fc7261b9b394c44b8737c68cef5d6ad91f26399f925580991afc9,verbatim adverse E3 contrast summary with promotion boundary
visualization/stage_ii/source_data/figure5_information_summary.csv,b17c07f870558f9ca1df193712a2a6e223b705db6633d7b2ed972356cedef655,simulation/stage_ii/outputs/information_flexibility.csv,a98c408936b202d9f6ccde666ffb3c1e965d2864f88493f4cb473fc31b3497aa,E6 mean and descriptive 95% t interval across registered seeds
visualization/stage_ii/source_data/figure5_information_interaction.csv,50e81396bc78214ced088038f58de8f71e5f6b413e75204c175a6c6c24929f4a,simulation/stage_ii/outputs/mechanism_summary.csv,0626a93b465fc7261b9b394c44b8737c68cef5d6ad91f26399f925580991afc9,verbatim family-wise E6 interaction summary
visualization/stage_ii/source_data/figure5_information_exact.csv,9d8da59c387fff7836bbea32be50018f4a0568a36b150341f9cc1e6263c8bef3,simulation/stage_ii/outputs/information_flexibility.csv,a98c408936b202d9f6ccde666ffb3c1e965d2864f88493f4cb473fc31b3497aa,verbatim exact finite-state anchors and garbling certificates
visualization/stage_ii/source_data/figure5_dependence_boundary.csv,28a1eac1841be93d9c682306fbb4c97ac46f1776169a594b9635eddcac9fc693,simulation/stage_ii/outputs/dependence_evaluation.csv,e4c189c20cc2b136cc42e39e0f9493a7c155a462038864c1a5a2f3f2de55351e,E5 paired true-law diagnostic aggregation; experiment precision failure retained
