block,metric,mean,minimum,maximum,n
dependence,allocation_Corn,-0.0706679183087,-1,1,384
dependence,allocation_Soybean,0.0706679183087,-1,1,384
dependence,allocation_Winter_Wheat,0,0,0,384
dependence,cvar_loss,-6.20700455746,-133.159758518,123.002158871,384
dependence,expected_profit,-0.634053536295,-8.60202240354,4.88720731171,384
dependence,hhi,0.0172631186772,-0.433493462537,0.499204877326,384
margins,allocation_Corn,0.365597736185,0,1,384
margins,allocation_Soybean,-0.365597736185,-1,0,384
margins,allocation_Winter_Wheat,0,0,0,384
margins,cvar_loss,29.6185197577,-21.7287887748,137.460378872,384
margins,expected_profit,2.63688802552,0,10.3510482103,384
margins,hhi,-0.104519368609,-0.499924203479,0.421028967155,384
operations,allocation_Corn,-0.344759208055,-0.682354788069,1.38777878078e-16,384
operations,allocation_Soybean,0.344759208055,-1.11022302463e-16,0.682354788069,384
operations,allocation_Winter_Wheat,0,0,0,384
operations,cvar_loss,-57.0536991023,-140.065591923,2.84217094304e-14,384
operations,expected_profit,-2.40673704785,-7.06308730787,5.68434188608e-14,384
operations,hhi,-0.151184292989,-0.433493462537,0.0664307409419,384
risk,allocation_Corn,-0.0700253978901,-1,0.466323912596,384
risk,allocation_Soybean,0.0700253978901,-0.466323912596,1,384
risk,allocation_Winter_Wheat,0,0,0,384
risk,cvar_loss,-28.0004506289,-134.477112485,12.7994394983,384
risk,expected_profit,-0.520981972082,-7.04746882829,3.08789972039,384
risk,hhi,-0.195052919616,-0.499924203479,0.433493462537,384
